file,model,table,measure,expression,description,formatString,lineageTag
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_alloc_reps_w_act_capt_level,"var res = Calculate([meas.act_time_alloc_reps], act_time_alloc_summary[act_capt_lvl_adjustment] > 0)
			return if(ISBLANK(res) , 0, res)",Measure calculating act time alloc reps w act capt level. Respects the current filter context.,0,41b390ab-c2d0-487d-8c76-f569e1464fe6
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_alloc_captured_durations_h,,Measure calculating act time alloc captured durations h. Respects the current filter context.,"###,###,###0.0"" hrs""",87c56af4-3aca-4a61-bab1-c500e9f3ae15
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_alloc_adj_durations_h,,Measure calculating act time alloc adj durations h. Respects the current filter context.,"###,###,###"" hrs""",a9976925-1bc8-4b96-9b93-8ad1465e02a1
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_alloc_avg_dur,,Average of act time alloc avg dur. Respects the current filter context.,"###,###,###"" min""",af4127e5-1a22-4bde-aa1e-9a4d03d1a80a
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_rep_w_act_capt_level_pct,"var res  = DIVIDE([meas.act_time_alloc_reps_w_act_capt_level],[meas.act_time_alloc_reps])
			return res",Rate of act time rep w act capt level pct. Respects the current filter context.,0%;-0%;0%,32b18e31-82ff-4240-a15b-d8ff9447d912
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_alloc_hours_weekly,"-- this is old code where we get the avg. weekly hrs per Rep for AE --> 83 hrs/week --------
			
			// var time = [meas.act_time_alloc_adj_durations_h]
			// var count_months = [meas.act_time_alloc_user_months_w_time_alloc]
			// var week_adj = CALCULATE(AVERAGE( act_time_alloc_summary[month_to_week_adjustment]), act_time_alloc_summary[act_capt_lvl_adjustment] > 0)
			// var res = DIVIDE(time, count_months * week_adj )
			// return res
			
			var _cap_dure = [meas.act_time_alloc_captured_durations_h]              // get the captured durations hrs
			var adj_factor = AVERAGE(act_time_alloc_summary[act_capt_lvl_adjustment])               // get the adjustment factor
			var prep_factor = AVERAGE(act_time_alloc_summary[prep_adjustment])                      // get the prep factor
			var _total_duration = (_cap_dure*adj_factor*prep_factor)                                // calculate the total duration
			
			
			var _min_date = CALCULATE(MIN(act_time_alloc_summary[_sys_filter_start_date]))
			var _max_date = CALCULATE(MAX(act_time_alloc_summary[_sys_filter_end_date]))
			var week_count = DATEDIFF(_min_date,_max_date,WEEK)             // count of week
			
			var _reps_w_ta = [meas.act_time_alloc_reps_w_act_capt_level]        // get the reps with time allocation
			var res = DIVIDE(_total_duration, (week_count * _reps_w_ta) )
			RETURN
			res",Measure calculating act time alloc hours weekly. Respects the current filter context.,"###,###,###""  hrs/week""",9ec1357c-9789-4e43-a71d-00c31ed960dd
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_alloc_user_months_w_time_alloc,"CALCULATE(count( act_time_alloc_summary[_sys_docid]), act_time_alloc_summary[act_capt_lvl_adjustment] > 0, act_time_alloc_summary[act_capt_lvl_adjustment] > 0)",Measure calculating act time alloc user months w time alloc. Respects the current filter context.,0,49d72214-dc8d-4f17-a750-cb340feba375
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_alloc_capture_lvl,,Measure calculating act time alloc capture lvl. Respects the current filter context.,0%;-0%;0%,6825710f-355b-49bf-93b6-549ccf1e0f89
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_rep_act_capture_value_pct,"var reps = [meas.act_time_alloc_reps]
			var reps_act_capture = CALCULATE([meas.act_time_alloc_reps],  act_time_alloc_summary[act_capt_lvl] > 0)
			var res = DIVIDE ( reps_act_capture, reps)
			return res",Rate of act time rep act capture value pct. Respects the current filter context.,0.00%;-0.00%;0.00%,bdd26b8c-ef42-408e-8984-52b78f930c41
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.tot_count,CALCULATE(SUM(users_activities[trueai_count])),Count of tot count. Respects the current filter context.,0,ad57e66a-3b39-4ea3-b2f6-0b6ed7e07337
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\act_time_alloc_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,act_time_alloc_summary,meas.act_time_alloc_hours_weekly_test,,Measure calculating act time alloc hours weekly test. Respects the current filter context.,,c04f4aa8-43c4-4305-b135-3d99b59e3891
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_nlp_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_nlp_summary,meas.nlp_avg_confidence,"var cnt = CALCULATE(AVERAGE('ai_conf_nlp_summary'[trueai_conf]), 'ai_conf_nlp_summary'[trueai_conf] > 0)
			var res = if(isblank(cnt),0, cnt)
			return res",Average of nlp avg confidence. Respects the current filter context.,0%;-0%;0%,986b635c-6494-4d9f-bea0-fe20c5d9db7d
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_nlp_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_nlp_summary,meas.nlp_classfied_ratio,"var res = divide('ai_conf_nlp_summary'[meas.nlp_classified_records],'ai_conf_nlp_summary'[meas.nlp_total_records] )
			return res",Measure calculating nlp classfied ratio. Respects the current filter context.,0%;-0%;0%,9441cd56-3303-4734-a538-a2268b6e1efd
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_nlp_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_nlp_summary,meas.nlp_classified_records,"var cnt = CALCULATE(Count('ai_conf_nlp_summary'[trueai_value]), 'ai_conf_nlp_summary'[trueai_value] <> ""ND"")
			var res = cnt
			return res",Measure calculating nlp classified records. Respects the current filter context.,0,4a5f7fd8-5d5d-40d3-97d1-85258fd8a4b1
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_nlp_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_nlp_summary,meas.nlp_not_classified_due_to_ambiguity_ratio,"var res = divide('ai_conf_nlp_summary'[meas.nlp_not_classified_records_due_to_ambiguity],'ai_conf_nlp_summary'[meas.nlp_total_records] )
			return res",Measure calculating nlp not classified due to ambiguity ratio. Respects the current filter context.,0%;-0%;0%,b7b44f01-5bbe-40f3-8922-8c6b1ad05cd9
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_nlp_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_nlp_summary,meas.nlp_not_classified_due_to_missing_ratio,"var res = divide('ai_conf_nlp_summary'[meas.nlp_not_classified_records_due_to_missing],'ai_conf_nlp_summary'[meas.nlp_total_records] )
			return res",Measure calculating nlp not classified due to missing ratio. Respects the current filter context.,0%;-0%;0%,f3334a93-084f-429c-9cc1-a27403334f71
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_nlp_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_nlp_summary,meas.nlp_not_classified_records_due_to_ambiguity,"var cnt = CALCULATE(Count('ai_conf_nlp_summary'[trueai_value]), 'ai_conf_nlp_summary'[trueai_value] = ""ND"" && 'ai_conf_nlp_summary'[trueai_conf] > 0)
			var res = if(isblank(cnt),0, cnt)
			return res",Measure calculating nlp not classified records due to ambiguity. Respects the current filter context.,0,fbaa1588-57a2-4faa-aa7e-892fee69ac89
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_nlp_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_nlp_summary,meas.nlp_not_classified_records_due_to_missing,"var cnt = CALCULATE(Count('ai_conf_nlp_summary'[trueai_value]), 'ai_conf_nlp_summary'[trueai_conf] = 0)
			var res = if(isblank(cnt),0, cnt)
			return res",Measure calculating nlp not classified records due to missing. Respects the current filter context.,0,15b83134-0406-4e6d-bfae-8c6c1c69e21b
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_nlp_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_nlp_summary,meas.nlp_score,,Measure calculating nlp score. Respects the current filter context.,0,4ac48b7e-3c27-41ec-8bd6-608fa435e90d
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_nlp_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_nlp_summary,meas.nlp_score_text,"var score = 'ai_conf_nlp_summary'[meas.nlp_score]
			var res = If (score >= 95, ""Excellent"", if(score >= 85,  ""Great"",If(score >= 75, ""Good"",If(score >= 50, ""Fair"", ""Limited"" ))))
			return  res",Measure calculating nlp score text. Respects the current filter context.,,ccb36d0b-16af-465e-835e-b9fcffed948c
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_nlp_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_nlp_summary,meas.nlp_total_records,"var cnt = CALCULATE(Count('ai_conf_nlp_summary'[trueai_value]))
			var res = cnt
			return res",Measure calculating nlp total records. Respects the current filter context.,0,fbeb6f9b-281b-489a-b65a-227188a13f88
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_pred_qual_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_pred_qual_summary,meas.ai_conf_overall_score,"var scr =  (ai_conf_pred_qual_summary[meas.pred_qual_trueai_score] + 'ai_conf_nlp_summary'[meas.nlp_score])/2
			 
			 //+ ai_conf_skills_summary[meas.skills_score]) / 3 // simple avg
			var res = scr
			return res",Measure calculating ai conf overall score. Respects the current filter context.,0,cb94e22d-e69e-420a-9626-b712c33e1a9f
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_pred_qual_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_pred_qual_summary,meas.ai_conf_overall_score_instry_avg,,Average of ai conf overall score instry avg. Respects the current filter context.,0,7616300d-cae6-467a-8352-84608e038164
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_pred_qual_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_pred_qual_summary,meas.ai_conf_overall_score_text,"var score = ai_conf_pred_qual_summary[meas.ai_conf_overall_score]
			var res = If (score >= 95, ""Excellent"", if(score >= 85,  ""Great"",If(score >= 75, ""Good"",If(score >= 50, ""Fair"", ""Limited"" ))))
			return  res",Measure calculating ai conf overall score text. Respects the current filter context.,,39b4e86c-460e-4a33-9eb4-a5bf45f38f7b
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_pred_qual_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_pred_qual_summary,meas.ai_conf_score_text,"var score = ai_conf_pred_qual_summary[meas.ai_conf_overall_score]
			var res = If (score >= 95, ""Excellent"", if(score >= 85,  ""Great"",If(score >= 75, ""Good"",If(score >= 50, ""Fair"", ""Limited"" ))))
			return  res",Measure calculating ai conf score text. Respects the current filter context.,,915fade2-d8df-4076-b918-0739d09e5eaa
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_pred_qual_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_pred_qual_summary,meas.pred_qual_score_text,"var score = ai_conf_pred_qual_summary[meas.pred_qual_trueai_score]
			var res = If (score >= 95, ""Excellent"", if(score >= 85,  ""Great"",If(score >= 75, ""Good"",If(score >= 50, ""Fair"", ""Limited"" ))))
			return  res",Measure calculating pred qual score text. Respects the current filter context.,,72f176ba-aefb-4f5e-a69c-aa67a8b54ba1
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_pred_qual_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_pred_qual_summary,meas.pred_qual_trueai_score,,Measure calculating pred qual trueai score. Respects the current filter context.,0,7483542d-1a68-4c60-a713-ed796df5673b
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_skills_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_skills_summary,meas.skills_reps,,Measure calculating skills reps. Respects the current filter context.,0,154ab5fb-48e4-4d5e-ad78-dccd191b6d26
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_skills_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_skills_summary,meas.skills_reps_with_scores,,Measure calculating skills reps with scores. Respects the current filter context.,0,64cb0b1e-ff49-4890-b689-a20a5541df2b
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\ai_conf_skills_summary.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,ai_conf_skills_summary,meas.skills_reps_with_scores_ratio,"divide([meas.skills_reps_with_scores], [meas.skills_reps])",Measure calculating skills reps with scores ratio. Respects the current filter context.,"#,##0 %",49238757-511c-4344-9f64-e365c4652f62
