"measure","description"
"meas.getHeatmapKPI2_formula_used","Returns the scoring formula label used for KPI 2 in heatmap metadata."
"meas.getHeatmapRawScore","Calculates raw combined heatmap score before final display transformations."
"meas.getHeatmapScore","Returns final combined heatmap score used for visual display and ranking."
"meas.getKP2_Score_chng","Calculates KPI 2 score change versus the comparison period."
"meas.getKPI1","Returns KPI 1 value for the selected heatmap item."
"meas.getKPI1_score","Calculates normalized KPI 1 score using configured scoring rules."
"meas.getKPI1_Score_change_pct","Calculates percentage change in KPI 1 score versus the same period last year."
"meas.getKPI1_score_cy","Calculates KPI 1 score for the current year."
"meas.getKPI1_score_cy_5q","Calculates KPI 1 score trend across the current five-quarter window."
"meas.getKPI1_score_delta","Calculates difference between current-year and same-period-last-year KPI 1 score."
"meas.getKPI1_score_sply","Calculates KPI 1 score for the same period last year."
"meas.getKPI1Denominator","Helper measure that resolves the denominator component for KPI 1 scoring."
"meas.getKPI1Denominator_Value","Returns the denominator value used for KPI 1 score calculation."
"meas.getKPI1Nominator","Helper measure that resolves the numerator component for KPI 1 scoring."
"meas.getKPI1Nominator_Value","Returns the numerator value used for KPI 1 score calculation."
"meas.getKPI1Weight","Returns configured weight for KPI 1 used in combined heatmap scoring."
"meas.getKPI2","Returns KPI 2 value for the selected heatmap item."
"meas.getKPI2_score","Calculates normalized KPI 2 score using configured scoring rules."
"meas.getKPI2_Score_change_pct","Calculates percentage change in KPI 2 score versus the same period last year."
"meas.getKPI2_score_cy","Calculates KPI 2 score for the current year."
"meas.getKPI2_score_cy_5q","Calculates KPI 2 score trend across the current five-quarter window."
"meas.getKPI2_score_delta","Calculates difference between current-year and same-period-last-year KPI 2 score."
"meas.getKPI2_score_sply","Calculates KPI 2 score for the same period last year."
"meas.getKPI2Denominator","Helper measure that resolves the denominator component for KPI 2 scoring."
"meas.getKPI2Denominator_Value","Returns the denominator value used for KPI 2 score calculation."
"meas.getKPI2Nominator","Helper measure that resolves the numerator component for KPI 2 scoring."
"meas.getKPI2Nominator_Value","Returns the numerator value used for KPI 2 score calculation."
"meas.getKPI2Weight","Returns configured weight for KPI 2 used in combined heatmap scoring."
"meas.heatmap_booking_growth_rate","Calculates booking growth rate used in heatmap performance analysis."
"meas.heatmap_rounded_score","Returns rounded heatmap score for cleaner visual display."
"meas.heatmap_trust_data_pi","Calculates data-trust indicator used to qualify heatmap score reliability."
"meas.how_kpi1_calculated","Helper text measure that explains how KPI 1 is calculated and interpreted."
"meas.how_kpi1_component_considered","Helper text measure that explains how KPI 1 is calculated and interpreted."
"meas.how_kpi1_score_calculation","Helper text measure that explains how KPI 1 is calculated and interpreted."
"meas.how_kpi2_calculated","Helper text measure that explains how KPI 2 is calculated and interpreted."
"meas.how_kpi2_component_considered","Helper text measure that explains how KPI 2 is calculated and interpreted."
"meas.how_kpi2_score_calculation","Helper text measure that explains how KPI 2 is calculated and interpreted."
"meas.hypothesis_final_score","Calculates final hypothesis score used to prioritize heatmap insights."
"meas.hypothesis_is_confirmed","Flags whether the selected hypothesis is currently confirmed."
"meas.KPI1_AI_score_bucket","Returns bucketed category for KPI 1 AI score."
"meas.kpi1_ai_score_trust","Returns trust status for KPI 1 AI score quality."
"meas.kpi1_ai_score_trust_value","Returns numeric trust factor for KPI 1 AI score."
"meas.kpi1_score_cy","Returns KPI 1 current-year score using the recent date window applied by heatmap trend logic."
"meas.KPI2_AI_score_bucket","Returns bucketed category for KPI 2 AI score."
"meas.kpi2_ai_score_trust","Returns trust status for KPI 2 AI score quality."
"meas.kpi2_ai_score_trust_value","Returns numeric trust factor for KPI 2 AI score."
"meas.loading","Helper measure used to control loading-state behavior in heatmap visuals."
"meas.combined_score_concatenated","Returns formatted combined score text for heatmap display."
"meas.combined_score_top","Returns top-level combined score value used in summary visuals."
"meas.combined_score_top_w_text","Returns top-level combined score with explanatory text."
"meas.getKPI1_value_cy","Returns KPI 1 raw value for the current year."
"meas.getKPI1_value_delta","Calculates difference between current-year and same-period-last-year KPI 1 value."
"meas.getKPI1_value_sply","Returns KPI 1 raw value for the same period last year."
"meas.getKPI2_value_cy","Returns KPI 2 raw value for the current year."
"meas.getKPI2_value_delta","Calculates difference between current-year and same-period-last-year KPI 2 value."
"meas.getKPI2_value_sply","Returns KPI 2 raw value for the same period last year."
"meas.kpi_combined_score","Calculates combined KPI score by applying configured KPI weights and trust adjustments."
"meas.kpi_combined_score_calculation","Helper text measure describing combined KPI score calculation logic."
"meas.kpi_score_combined_text","Returns display text for the combined KPI score."
"meas.kpi1_score_change_text","Returns descriptive text for KPI 1 score change versus comparison period."
"meas.kpi1_score_last_3_month","Calculates KPI 1 average score for the most recent three months."
"meas.kpi1_score_last_3_prior_month","Calculates KPI 1 average score for the prior three-month comparison window."
"meas.kpi1_value_delta_concatenated","Returns formatted KPI 1 value delta text for visual display."
"meas.kpi1_value_delta_top","Returns top-line KPI 1 value delta for executive display."
"meas.kpi2_score_change_text","Returns descriptive text for KPI 2 score change versus comparison period."
"meas.kpi2_score_last_3_month","Calculates KPI 2 average score for the most recent three months."
"meas.kpi2_score_last_3_prior_month","Calculates KPI 2 average score for the prior three-month comparison window."
"meas.kpi2_value_delta_concatenated","Returns formatted KPI 2 value delta text for visual display."
"meas.kpi2_value_delta_top","Returns top-line KPI 2 value delta for executive display."
"meas.calc_hyp1_kpi1_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 1 KPI 1 scoring."
"meas.calc_hyp1_kpi2_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 1 KPI 2 scoring."
"meas.calc_hyp10_kpi1_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 10 KPI 1 scoring."
"meas.calc_hyp10_kpi2_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 10 KPI 2 scoring."
"meas.calc_hyp11_kpi1_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 11 KPI 1 scoring."
"meas.calc_hyp11_kpi2_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 11 KPI 2 scoring."
"meas.calc_hyp12_kpi1_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 12 KPI 1 scoring."
"meas.calc_hyp12_kpi2_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 12 KPI 2 scoring."
"meas.calc_hyp13_kpi1_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 13 KPI 1 scoring."
"meas.calc_hyp13_kpi2_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 13 KPI 2 scoring."
"meas.calc_hyp14_kpi1_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 14 KPI 1 scoring."
"meas.calc_hyp15_kpi1_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 15 KPI 1 scoring."
"meas.calc_hyp16_kpi1_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 16 KPI 1 scoring."
"meas.calc_hyp16_kpi2_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 16 KPI 2 scoring."
"meas.calc_hyp17_kpi1_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 17 KPI 1 scoring."
"meas.calc_hyp18_kpi1_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 18 KPI 1 scoring."
"meas.calc_hyp2_kpi1_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 2 KPI 1 scoring."
"meas.calc_hyp2_kpi2_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 2 KPI 2 scoring."
"meas.calc_hyp3_kpi1_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 3 KPI 1 scoring."
"meas.calc_hyp4_kpi1_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 4 KPI 1 scoring."
"meas.calc_hyp5_kpi1_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 5 KPI 1 scoring."
"meas.calc_hyp6_kpi1_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 6 KPI 1 scoring."
"meas.calc_hyp6_kpi2_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 6 KPI 2 scoring."
"meas.calc_hyp7_kpi1_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 7 KPI 1 scoring."
"meas.calc_hyp8_kpi1_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 8 KPI 1 scoring."
"meas.calc_hyp8_kpi2_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 8 KPI 2 scoring."
"meas.calc_hyp9_kpi1_denominator_count","Helper measure that counts records used in the denominator component of Hypothesis 9 KPI 1 scoring."
"meas.calc_hyp9_kpi2_nominator_count","Helper measure that counts records used in the numerator component of Hypothesis 9 KPI 2 scoring."
"meas.heatmap_combined_record_count_flag","Flags whether combined KPI record counts meet minimum quality thresholds."
"meas.heatmap_kpi1_min_record_count","Returns minimum record threshold required for KPI 1 score reliability."
"meas.heatmap_kpi1_min_record_factor_name","Returns metadata name of the minimum-record factor for KPI 1 validation."
"meas.heatmap_kpi1_record_count","Returns record count currently used to calculate KPI 1."
"meas.heatmap_kpi1_record_count_flag","Flags whether KPI 1 has sufficient records for reliable scoring."
"meas.heatmap_kpi2_min_record_count","Returns minimum record threshold required for KPI 2 score reliability."
"meas.heatmap_kpi2_min_record_factor_name","Returns metadata name of the minimum-record factor for KPI 2 validation."
"meas.heatmap_kpi2_record_count","Returns record count currently used to calculate KPI 2."
"meas.heatmap_kpi2_record_count_flag","Flags whether KPI 2 has sufficient records for reliable scoring."
"meas.heatmap_details_ai_model_score_validation","Returns heatmap detail metadata for AI model score validation in the current selection."
"meas.heatmap_details_description","Returns heatmap detail metadata for description in the current selection."
"meas.heatmap_details_getKPI1_denominator_value","Returns heatmap detail metadata for getKPI1 denominator value in the current selection."
"meas.heatmap_details_getKPI1_nominator_value","Returns heatmap detail metadata for getKPI1 nominator value in the current selection."
"meas.heatmap_details_getKPI1_Score_value","Returns heatmap detail metadata for getKPI1 Score value in the current selection."
"meas.heatmap_details_getKPI1_value","Returns heatmap detail metadata for getKPI1 value in the current selection."
"meas.heatmap_details_getKPI2_denominator_value","Returns heatmap detail metadata for getKPI2 denominator value in the current selection."
"meas.heatmap_details_getKPI2_nominator_value","Returns heatmap detail metadata for getKPI2 nominator value in the current selection."
"meas.heatmap_details_getKPI2_Score_value","Returns heatmap detail metadata for getKPI2 Score value in the current selection."
"meas.heatmap_details_getKPI2_value","Returns heatmap detail metadata for getKPI2 value in the current selection."
"meas.heatmap_details_growth_category","Returns heatmap detail metadata for growth category in the current selection."
"meas.heatmap_details_growth_category_base64","Returns heatmap detail metadata for growth category base64 in the current selection."
"meas.heatmap_details_growth_category_hypo_name","Returns heatmap detail metadata for growth category hypo name in the current selection."
"meas.heatmap_details_hypothesis_confirmed","Returns heatmap detail metadata for hypothesis confirmed in the current selection."
"meas.heatmap_details_hypothesis_id","Returns heatmap detail metadata for hypothesis id in the current selection."
"meas.heatmap_details_kpi_report_location","Returns heatmap detail metadata for KPI report location in the current selection."
"meas.heatmap_details_kpi_screen","Returns heatmap detail metadata for KPI screen in the current selection."
"meas.heatmap_details_kpi1_ai_score_name","Returns heatmap detail metadata for kpi1 AI score name in the current selection."
"meas.heatmap_details_kpi1_calculation","Returns heatmap detail metadata for kpi1 calculation in the current selection."
"meas.heatmap_details_kpi1_def_short","Returns heatmap detail metadata for kpi1 def short in the current selection."
"meas.heatmap_details_kpi1_denominator_def","Returns heatmap detail metadata for kpi1 denominator def in the current selection."
"meas.heatmap_details_kpi1_long_def","Returns heatmap detail metadata for kpi1 long def in the current selection."
"meas.heatmap_details_kpi1_max_value","Returns heatmap detail metadata for kpi1 max value in the current selection."
"meas.heatmap_details_kpi1_min_value","Returns heatmap detail metadata for kpi1 min value in the current selection."
"meas.heatmap_details_kpi1_nominator_def","Returns heatmap detail metadata for kpi1 nominator def in the current selection."
"meas.heatmap_details_kpi1_reference_value","Returns heatmap detail metadata for kpi1 reference value in the current selection."
"meas.heatmap_details_kpi1_score_calculation","Returns heatmap detail metadata for kpi1 score calculation in the current selection."
"meas.heatmap_details_kpi1_score_trend_calculation","Returns heatmap detail metadata for kpi1 score trend calculation in the current selection."
"meas.heatmap_details_kpi1_standard_dev_value","Returns heatmap detail metadata for kpi1 standard dev value in the current selection."
"meas.heatmap_details_kpi1_value_trend","Returns heatmap detail metadata for kpi1 value trend in the current selection."
"meas.heatmap_details_kpi1_weight_value","Returns heatmap detail metadata for kpi1 weight value in the current selection."
"meas.heatmap_details_kpi1_whats_better","Returns heatmap detail metadata for kpi1 whats better in the current selection."
"meas.heatmap_details_kpi2_ai_score_name","Returns heatmap detail metadata for kpi2 AI score name in the current selection."
"meas.heatmap_details_kpi2_calculation","Returns heatmap detail metadata for kpi2 calculation in the current selection."
"meas.heatmap_details_kpi2_def_short","Returns heatmap detail metadata for kpi2 def short in the current selection."
"meas.heatmap_details_kpi2_denominator_def","Returns heatmap detail metadata for kpi2 denominator def in the current selection."
"meas.heatmap_details_kpi2_long_def","Returns heatmap detail metadata for kpi2 long def in the current selection."
"meas.heatmap_details_kpi2_max_value","Returns heatmap detail metadata for kpi2 max value in the current selection."
"meas.heatmap_details_kpi2_min_value","Returns heatmap detail metadata for kpi2 min value in the current selection."
"meas.heatmap_details_kpi2_nominator_def","Returns heatmap detail metadata for kpi2 nominator def in the current selection."
"meas.heatmap_details_kpi2_reference_value","Returns heatmap detail metadata for kpi2 reference value in the current selection."
"meas.heatmap_details_kpi2_score_calculation","Returns heatmap detail metadata for kpi2 score calculation in the current selection."
"meas.heatmap_details_kpi2_score_trend_calculation","Returns heatmap detail metadata for kpi2 score trend calculation in the current selection."
"meas.heatmap_details_kpi2_standard_dev_value","Returns heatmap detail metadata for kpi2 standard dev value in the current selection."
"meas.heatmap_details_kpi2_value_trend","Returns heatmap detail metadata for kpi2 value trend in the current selection."
"meas.heatmap_details_kpi2_weight_value","Returns heatmap detail metadata for kpi2 weight value in the current selection."
"meas.heatmap_details_kpi2_whats_better","Returns heatmap detail metadata for kpi2 whats better in the current selection."
"meas.heatmap_details_name","Returns heatmap detail metadata for name in the current selection."
"meas.heatmap_details_score","Returns heatmap detail metadata for score in the current selection."
"meas.heatmap_details_score_new","Returns heatmap detail metadata for score new in the current selection."
"meas.heatmap_details_score_w_na_nd","Returns heatmap detail metadata for score w na nd in the current selection."
"meas.hypothesis_is_confirmed_details","Returns detail text indicating whether the selected hypothesis is confirmed."
"meas.trueai_kpi1_max","Returns configured maximum boundary for KPI 1 normalization."
"meas.trueai_kpi1_min","Returns configured minimum boundary for KPI 1 normalization."
"meas.trueai_kpi1_ref_value","Returns configured reference value for KPI 1 benchmarking."
"meas.trueai_kpi1_sd","Returns configured standard deviation factor for KPI 1 scoring."
"meas.trueai_kpi2_max","Returns configured maximum boundary for KPI 2 normalization."
"meas.trueai_kpi2_min","Returns configured minimum boundary for KPI 2 normalization."
"meas.trueai_kpi2_ref_value","Returns configured reference value for KPI 2 benchmarking."
"meas.trueai_kpi2_sd","Returns configured standard deviation factor for KPI 2 scoring."
"meas.get_category_base64","Returns base64-encoded category asset used by heatmap visuals."
"meas.get_growth_category","Returns growth category classification used in heatmap interpretation."
"meas.heatmap_details_score_used_analysis","Returns heatmap detail metadata for score used analysis in the current selection."
"meas.stakeholder_num_flag","Flags stakeholder-count conditions used to validate heatmap scenario applicability."
