"measure","current_purpose","expression_sample","replacement_description"
"meas.calc_hyp17_kpi1_nominator","Returns a value derived from ssr_history[step_name].","var res =  CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 17 KPI 1 scoring."
"meas.calc_hyp18_kpi1_denominator","Returns a value derived from ssr_history[step_name] and cal_end_dates[Date].","var res =  CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 18 KPI 1 scoring."
"meas.calc_hyp18_kpi1_nominator","Returns a value derived from ssr_history[step_name].","var res =  CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 18 KPI 1 scoring."
"meas.calc_hyp18_kpi1_nominator_count","Returns a value derived from ssr_history[step_name].","var filter_tbl =  CALCULATETABLE(","Helper measure that counts records used in the numerator component of Hypothesis 18 KPI 1 scoring."
"meas.calc_hyp2_kpi1_denominator","Returns the measure value from its DAX expression.","1             // hard coded 1 as the def","Helper measure that calculates the denominator component used in Hypothesis 2 KPI 1 scoring."
"meas.calc_hyp2_kpi1_nominator","Returns the measure value from its DAX expression.","var res = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 2 KPI 1 scoring."
"meas.calc_hyp2_kpi1_nominator_count","Returns the measure value from its DAX expression.","var contact_ai = CALCULATETABLE(","Helper measure that counts records used in the numerator component of Hypothesis 2 KPI 1 scoring."
"meas.calc_hyp2_kpi2_denominator","Returns the measure value from its DAX expression.","1             // get the hardcoded 1 value","Helper measure that calculates the denominator component used in Hypothesis 2 KPI 2 scoring."
"meas.calc_hyp2_kpi2_nominator","Returns a value derived from opportunity completeness fields.","var contact_ai = CALCULATE(AVERAGE(opps[trueai_complt_contact]))","Helper measure that calculates the numerator component used in Hypothesis 2 KPI 2 scoring."
"meas.calc_hyp2_kpi2_nominator_count","Returns a value derived from opps row count in current context.","var contact_ai = CALCULATETABLE(opps)","Helper measure that counts records used in the numerator component of Hypothesis 2 KPI 2 scoring."
"meas.calc_hyp3_kpi1_denominator","Returns a value derived from ssr_history[step_name].","// var res = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 3 KPI 1 scoring."
"meas.calc_hyp3_kpi1_nominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_outcome].","var _max_date = [meas.context_date_max]","Helper measure that calculates the numerator component used in Hypothesis 3 KPI 1 scoring."
"meas.calc_hyp3_kpi1_nominator_count","Returns a value derived from cal_end_dates[Date] and ssr_history[step_outcome].","var _max_date = [meas.context_date_max]","Helper measure that counts records used in the numerator component of Hypothesis 3 KPI 1 scoring."
"meas.calc_hyp3_kpi2_denominator","Returns a value derived from users_history[trueai_user_role_function].","var res = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 3 KPI 2 scoring."
"meas.calc_hyp3_kpi2_nominator","Returns a value derived from users_history[trueai_user_role_function].","var res = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 3 KPI 2 scoring."
"meas.calc_hyp4_kpi1_denominator","Returns the measure value from its DAX expression.","1            // get the hard coded 1 as the def","Helper measure that calculates the denominator component used in Hypothesis 4 KPI 1 scoring."
"meas.calc_hyp4_kpi1_nominator","Returns a value derived from ssr[trueai_leadsource_is_inbound] and users[trueai_user_role_department].","var res =CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 4 KPI 1 scoring."
"meas.calc_hyp4_kpi1_nominator_count","Returns a value derived from ssr_history[step_name] and ssr[col.trueai_leadsource_is_inbound].","var lead_gen_tbl = CALCULATETABLE(","Helper measure that counts records used in the numerator component of Hypothesis 4 KPI 1 scoring."
"meas.calc_hyp4_kpi2_denominator","Returns the measure value from its DAX expression.","1                 // hardcode","Helper measure that calculates the denominator component used in Hypothesis 4 KPI 2 scoring."
"meas.calc_hyp4_kpi2_nominator","Returns a value derived from ssr[col.trueai_leadsource_inbound_outbound].","var res = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 4 KPI 2 scoring."
"meas.calc_hyp5_kpi1_denominator","Returns the measure value from its DAX expression.","1                 // get the hard code 1","Helper measure that calculates the denominator component used in Hypothesis 5 KPI 1 scoring."
"meas.calc_hyp5_kpi1_nominator","Returns a value derived from ssr[col.trueai_time_to_touch_days].","VAR res = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 5 KPI 1 scoring."
"meas.calc_hyp5_kpi1_nominator_count","Returns a value derived from cal_end_dates[Date] and ssr[_sys_doc_id].","var start_date = [meas.filter_date_min]","Helper measure that counts records used in the numerator component of Hypothesis 5 KPI 1 scoring."
"meas.calc_hyp5_kpi2_denominator","Returns the measure value from its DAX expression.","1                 // get the hard code 1","Helper measure that calculates the denominator component used in Hypothesis 5 KPI 2 scoring."
"meas.calc_hyp5_kpi2_nominator","Returns the measure value from its DAX expression.","1               // hard code","Helper measure that calculates the numerator component used in Hypothesis 5 KPI 2 scoring."
"meas.calc_hyp6_kpi1_denominator","Returns a value derived from ssr_history[stkhlds_all_contacts_count] and ssr_history[step_outcome].","var res = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 6 KPI 1 scoring."
"meas.calc_hyp6_kpi1_denominator_count","Returns a value derived from ssr_history[step_outcome] and ssr_history[opp_lost_stage].","var filt_tbl = CALCULATETABLE(","Helper measure that counts records used in the denominator component of Hypothesis 6 KPI 1 scoring."
"meas.calc_hyp6_kpi1_nominator","Returns a value derived from ssr_history[stkhlds_all_contacts_count] and ssr_history[step_outcome].","var res = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 6 KPI 1 scoring."
"meas.calc_hyp6_kpi2_denominator","Returns a value derived from opps[trueai_is_won] and ssr_history[step_name].","var won_deals_count = CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 6 KPI 2 scoring."
"meas.calc_hyp6_kpi2_denominator_count","Returns a value derived from ssr_history[step_name].","var rep_tbl = CALCULATETABLE(","Helper measure that counts records used in the denominator component of Hypothesis 6 KPI 2 scoring."
"meas.calc_hyp6_kpi2_nominator","Returns a value derived from opps[trueai_is_won] and ssr_history[step_name].","var won_deals_count = CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 6 KPI 2 scoring."
"meas.calc_hyp7_kpi1_denominator","Returns a value derived from ssr_history[step_outcome] and ssr_history[step_name].","CALCULATE(","Helper measure that calculates the denominator component used in Hypothesis 7 KPI 1 scoring."
"meas.calc_hyp7_kpi1_denominator_count","Returns a value derived from ssr_history[step_outcome] and ssr_history[step_name].","// CALCULATE(","Helper measure that counts records used in the denominator component of Hypothesis 7 KPI 1 scoring."
"meas.calc_hyp7_kpi1_nominator","Returns a value derived from ssr_history[step_outcome] and ssr_history[step_name].","CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 7 KPI 1 scoring."
"meas.calc_hyp7_kpi2_denominator","Returns the measure value from its DAX expression.","BLANK()","Helper measure that calculates the denominator component used in Hypothesis 7 KPI 2 scoring."
"meas.calc_hyp7_kpi2_nominator","Returns the measure value from its DAX expression.","BLANK()","Helper measure that calculates the numerator component used in Hypothesis 7 KPI 2 scoring."
"meas.calc_hyp8_kpi1_denominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Helper measure that calculates the denominator component used in Hypothesis 8 KPI 1 scoring."
"meas.calc_hyp8_kpi1_denominator_count","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Helper measure that counts records used in the denominator component of Hypothesis 8 KPI 1 scoring."
"meas.calc_hyp8_kpi1_nominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Helper measure that calculates the numerator component used in Hypothesis 8 KPI 1 scoring."
"meas.calc_hyp8_kpi2_denominator","Returns the measure value from its DAX expression.","1","Helper measure that calculates the denominator component used in Hypothesis 8 KPI 2 scoring."
"meas.calc_hyp8_kpi2_nominator","Returns a value derived from ssr_history[step_success_prob] and ssr_history[opp_sale_type].","var res =  CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 8 KPI 2 scoring."
"meas.calc_hyp8_kpi2_nominator_count","Returns a value derived from ssr_history[opp_sale_type].","var rep_tbl =  CALCULATETABLE(","Helper measure that counts records used in the numerator component of Hypothesis 8 KPI 2 scoring."
"meas.calc_hyp9_kpi1_denominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Helper measure that calculates the denominator component used in Hypothesis 9 KPI 1 scoring."
"meas.calc_hyp9_kpi1_denominator_count","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Helper measure that counts records used in the denominator component of Hypothesis 9 KPI 1 scoring."
"meas.calc_hyp9_kpi1_nominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Helper measure that calculates the numerator component used in Hypothesis 9 KPI 1 scoring."
"meas.calc_hyp9_kpi2_denominator","Returns the measure value from its DAX expression.","1","Helper measure that calculates the denominator component used in Hypothesis 9 KPI 2 scoring."
"meas.calc_hyp9_kpi2_nominator","Returns a value derived from ssr_history[step_success_prob] and ssr_history[opp_sale_type].","var res =  CALCULATE(","Helper measure that calculates the numerator component used in Hypothesis 9 KPI 2 scoring."
"meas.calc_hyp9_kpi2_nominator_count","Returns a value derived from ssr_history[opp_sale_type].","var rep_tbl =  CALCULATETABLE(","Helper measure that counts records used in the numerator component of Hypothesis 9 KPI 2 scoring."
"meas.check_kpi1_kpi2_weight","Returns the measure value from its DAX expression.","var _kpi1 = [meas.getKPI1Weight]","Validates KPI weight configuration by checking that KPI 1 and KPI 2 weights sum to 1.00."
"meas.combined_score_concatenated","Returns the measure value from its DAX expression.","var TrendValue = [meas.kpi_combined_score]                     // get the improvemnet compared to cy","Returns formatted combined score text for heatmap display."
"meas.combined_score_top","Returns the measure value from its DAX expression.","var TrendValue =[meas.kpi_combined_score]    //IF([meas.kpi_combined_score]=BLANK(), ""ND"",[meas.kpi_combined_score])                      // get the improvemnet compared to cy","Returns top-level combined score value used in summary visuals."
"meas.combined_score_top_w_text","Returns the measure value from its DAX expression.","var TrendValue =[meas.kpi_combined_score]    //IF([meas.kpi_combined_score]=BLANK(), ""ND"",[meas.kpi_combined_score])                      // get the improvemnet compared to cy","Returns top-level combined score with explanatory text."
"meas.get_category_base64","Returns a value derived from heatmap_graphics[_sys_base64] and heatmap_graphics[category].","var _category = [meas.get_growth_category]      // get the growth category from heatmap","Returns base64-encoded category asset used by heatmap visuals."
"meas.get_growth_category","Returns a value derived from metadata_heatmap_items[heatmap_growth_category].","CALCULATE(MAX(metadata_heatmap_items[heatmap_growth_category]))","Returns growth category classification used in heatmap interpretation."
"meas.getHeatmapConditionalColor","Returns the measure value from its DAX expression.","var _ai_score = [meas.getHeatmapKPI_AIScore]        // get the validated and not validated","Helper measure that returns conditional color values used by heatmap visuals."
"meas.getHeatmapConditionalColor_new","Returns the measure value from its DAX expression.","// var _ai_score = [meas.getHeatmapKPI_AIScore]        // get the validated and not validated","Helper measure that returns conditional color values used by heatmap visuals."
"meas.getHeatmapKPI_AIScore","Returns the measure value from its DAX expression.","VAR kpi1 = [meas.kpi1_ai_score_trust_value]   -- 0â€“100 scale","Returns the AI score associated with the currently selected heatmap KPI."
"meas.getHeatmapKPI1_formula_used","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_whats_better].","var _better = MAX(metadata_heatmap_items[heatmap_kpi1_whats_better])           // get ghe what's better","Returns the scoring formula label used for KPI 1 in heatmap metadata."
"meas.getHeatmapKPI2_formula_used","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_whats_better].","var _better = MAX(metadata_heatmap_items[heatmap_kpi2_whats_better])           // get ghe what's better","Returns the scoring formula label used for KPI 2 in heatmap metadata."
"meas.getHeatmapRawScore","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_weight].","var _kpi1 = [meas.getKPI1_score]           // get the KPI 1 score","Calculates raw combined heatmap score before final display transformations."
"meas.getHeatmapScore","Returns the measure value from its DAX expression.","VAR _ai_score = [meas.getHeatmapKPI_AIScore]            // get the AI Model Score","Returns final combined heatmap score used for visual display and ranking."
"meas.getKP2_Score_chng","Returns the measure value from its DAX expression.","var cy_kpi2 = [meas.getKPI2_score_cy]          // get the current year KPI1","Calculates KPI 2 score change versus the comparison period."
"meas.getKPI1","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Returns KPI 1 value for the selected heatmap item."
"meas.getKPI1_score","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_whats_better].","var _kpi = [meas.getKPI1]         // get teh KPI 1","Calculates normalized KPI 1 score using configured scoring rules."
"meas.getKPI1_Score_change_pct","Returns a value derived from cal_end_dates[Date].","var cy = [meas.getKPI1_score]            // get the integer KPI 1 score","Calculates percentage change in KPI 1 score versus the same period last year."
"meas.getKPI1_score_cy","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Calculates KPI 1 score for the current year."
"meas.getKPI1_score_cy_5q","Returns a value derived from cal_end_dates[Date].","VAR _max_date = [meas.context_date_max] // Get the max date in the dataset","Calculates KPI 1 score trend across the current five-quarter window."
"meas.getKPI1_score_delta","Returns the measure value from its DAX expression.","var cy_kpi1 = [meas.getKPI1_score_cy]          // get the current year KPI1","Calculates difference between current-year and same-period-last-year KPI 1 score."
"meas.getKPI1_score_sply","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Calculates KPI 1 score for the same period last year."
"meas.getKPI1_value_cy","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Returns KPI 1 raw value for the current year."
"meas.getKPI1_value_delta","Returns the measure value from its DAX expression.","var cy_kpi1 = [meas.getKPI1_value_cy]          // get the current year KPI1","Calculates difference between current-year and same-period-last-year KPI 1 value."
"meas.getKPI1_value_sply","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Returns KPI 1 raw value for the same period last year."
"meas.getKPI1Denominator","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])","Helper measure that resolves the denominator component for KPI 1 scoring."
"meas.getKPI1Denominator_Value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Returns the denominator value used for KPI 1 score calculation."
"meas.getKPI1Nominator","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Helper measure that resolves the numerator component for KPI 1 scoring."
"meas.getKPI1Nominator_Value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Returns the numerator value used for KPI 1 score calculation."
"meas.getKPI1Weight","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_weight].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])               // get the current hypothesis id","Returns configured weight for KPI 1 used in combined heatmap scoring."
"meas.getKPI2","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Returns KPI 2 value for the selected heatmap item."
"meas.getKPI2_score","Returns a value derived from metadata_heatmap_items[col.kpi2_std_value] and metadata_heatmap_items[col.kpi2_ref_value].","var _kpi = [meas.getKPI2]         // get teh KPI 1","Calculates normalized KPI 2 score using configured scoring rules."
"meas.getKPI2_Score_change_pct","Returns a value derived from cal_end_dates[Date].","var cy = [meas.getKPI2_score]            // get the integer KPI 2 score","Calculates percentage change in KPI 2 score versus the same period last year."
"meas.getKPI2_score_cy","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_def_short] and cal_end_dates[Date].","var kpi2_def = MAX(metadata_heatmap_items[heatmap_kpi2_def_short])","Calculates KPI 2 score for the current year."
"meas.getKPI2_score_cy_5q","Returns a value derived from cal_end_dates[Date].","VAR _max_date = [meas.context_date_max] // Get the max date in the dataset","Calculates KPI 2 score trend across the current five-quarter window."
"meas.getKPI2_score_delta","Returns the measure value from its DAX expression.","var cy_kpi2 = [meas.getKPI2_score_cy]          // get the current year KPI2","Calculates difference between current-year and same-period-last-year KPI 2 score."
"meas.getKPI2_score_sply","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_def_short] and cal_end_dates[Date].","var kpi2_def = MAX(metadata_heatmap_items[heatmap_kpi2_def_short])          // check if we have kpi2","Calculates KPI 2 score for the same period last year."
"meas.getKPI2_value_cy","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Returns KPI 2 raw value for the current year."
"meas.getKPI2_value_delta","Returns the measure value from its DAX expression.","var cy_kpi2 = [meas.getKPI2_value_cy]          // get the current year KPI2","Calculates difference between current-year and same-period-last-year KPI 2 value."
