"measure","current_purpose","expression_sample","replacement_description"
"meas.data_logs_user_count_change_perc","","VAR __BASELINE_VALUE = [meas.data_logs_user_count_bop]","Counts data logs user count change perc."
"meas.data_logs_user_count_eop_for_nd","","CALCULATE(","Counts data logs user count end of period for not defined."
"meas.reps_w_actlvl_pct","","var reps_w_acl = [meas.reps_w_actlvl_count]","Calculates reps w actlvl percentage as a percentage."
"meas.reps_w_actlvl_count","","CALCULATE(DISTINCTCOUNT([_sys_user_id]), (users_history[ci_act_capt_lvl] > 0)","Counts reps w actlvl count."
"meas.reps_w_time_allocation_pct","","var reps_w_ta = [meas.reps_w_time_allocation_count]","Calculates reps w time allocation percentage as a percentage."
"meas.reps_w_time_allocation_count","","var fromDate =[meas.context_date_min]","Counts reps w time allocation count. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.users_history_row_filler","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.sys.user_id_for_am","","CALCULATE(","Returns user identifier aligned to the specified role filter."
"meas.di.trueai_opps_won_amt_am_avg","","DIVIDE(","Calculates average di.trueai opportunities won amount am average."
"meas.sys.user_id_for_ae","","CALCULATE(","Returns user identifier aligned to the specified role filter."
"meas.sys.user_id_for_sdr","","CALCULATE(","Returns user identifier aligned to the specified role filter."
"meas.sys.user_id_for_nd","","CALCULATE(","Returns user identifier aligned to the specified role filter."
"meas.sys.user_id_for_other","","CALCULATE(","Returns user identifier aligned to the specified role filter."
"meas.di.trueai_opps_won_amt_ae_avg","","DIVIDE(","Calculates average di.trueai opportunities won amount ae average."
"meas.di.trueai_opps_won_amt_sdr_avg","","DIVIDE(","Calculates average di.trueai opportunities won amount sdr average."
"meas.di.trueai_opps_won_amt_nd_avg","","DIVIDE(","Calculates average di.trueai opportunities won amount not defined average."
"meas.di.trueai_opps_won_amt_mgr_avg","","DIVIDE(","Calculates average di.trueai opportunities won amount manager average."
"meas.sys.user_id_for_mgr","","CALCULATE(","Returns user identifier aligned to the specified role filter."
"meas.di.trueai_opps_won_amt_other_avg","","DIVIDE(","Calculates average di.trueai opportunities won amount other average."
"meas.count_trueai_user_role_account_executive","","var min_date = [meas.context_date_min]","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_account_manager","","var min_date = [meas.context_date_min]","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_sales_manager","","var min_date = [meas.context_date_min] // get the min date of the period","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_nd","","var min_date = [meas.context_date_min]","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_sales_development_rep","","var min_date = [meas.context_date_min] // get the min date of the period","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.user_history_count_dept_sales","","CALCULATE(","Counts user history count dept sales."
"meas.count_trueai_user_role_account_executive_in_group_nd","","CALCULATE(","Counts users for the specified role in the selected reporting period."
"meas.count_trueai_user_role_all_salesteam","","var min_date = [meas.context_date_min]","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_other","","var min_date = [meas.context_date_min] // get the min date of the period","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_sales_executive","","var min_date = [meas.context_date_min] // get the min date of the period","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.data_logs_user_count_eop_for_dept_support","","CALCULATE(","Counts data logs user count end of period for dept support."
"meas.data_logs_user_count_eop_for_dept_ops","","CALCULATE(","Counts data logs user count end of period for dept ops."
"meas.data_logs_user_count_eop_for_dept_nd","","CALCULATE(","Counts data logs user count end of period for dept not defined."
"meas.data_logs_won_amt_user_eop_avg","","DIVIDE(","Calculates average data logs won amount user end of period average."
"meas.data_logs_pipeline_amt_user_eop_avg","","DIVIDE(","Calculates average data logs pipeline amount user end of period average."
"meas.data_logs_won_amt_user_eop_avg_for_new_logo_selling","","var reps = [meas.data_logs_user_count_eop]","Calculates average data logs won amount user end of period average for new logo selling."
"meas.data_logs_won_amt_user_eop_avg_for_existing_acv","","var reps = [meas.data_logs_user_count_eop]","Calculates average data logs won amount user end of period average for existing acv."
"meas.data_logs_won_amt_user_eop_avg_for_new_acv","","var reps = [meas.data_logs_user_count_eop]","Calculates average data logs won amount user end of period average for new acv."
"meas.user_history_user_new_hires_terminated_in_12_month_pos","","var fromDate =[meas.context_date_min]","Calculates user history user new hires terminated in 12 month pos for user lifecycle monitoring. Uses the selected date range context."
"meas.data_logs_won_amt_user_eop_avg_for_existing_customer_selling","","var reps = [meas.data_logs_user_count_eop]","Calculates average data logs won amount user end of period average for existing customer selling."
"meas.users_history_row_filler2","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler3","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler4","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler5","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler6","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler7","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler8","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler9","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler10","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler11","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler12","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler13","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler14","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler15","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.data_logs_user_turnover_pct","","var res =DIVIDE(","Calculates data logs user turnover percentage as a percentage."
"meas.time_allocation_total_not_eng","","AVERAGE('users_history'[ci_time_alloc_tot]) - AVERAGE('users_history'[ci_time_alloc_tot_eng])","Calculates time allocation total not eng."
"meas.users_history_ta_potential_vs_actual","","var uh_filt_tbl = CALCULATETABLE(users_history, users_history[ci_time_alloc_tot] <> blank())","Calculates users history time allocation potential vs actual."
"meas.data_logs_user_turnover_pct_regrettable","","var res = DIVIDE(","Calculates data logs user turnover percentage regrettable as a percentage."
"meas.data_logs_user_new_terminations_regrettable","","var tbl_perf_users = SUMMARIZE(users_history , users_history[_sys_user_id], ""months"", Count(users_history[_sys_doc_id]), ""avg_perf_tier_num"", AVERAGE(users_history[ci_perf_qtly_performance_tier_num])+ 0)","Calculates data logs user new terminations regrettable for workforce and activity data monitoring."
"meas.users_history_user_role_function_concat_w_count_eop","","var fromDate =[meas.context_date_min]","Counts users history user role function concat w count end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.exp_rpts_all_avg_perf_tier","","var calc = CALCULATE(AVERAGE(users_history[ci_perf_qtly_performance_tier_num]))","Calculates average exp rpts all average performance tier."
"meas.exp_rpts_last_year_avg_perf_tier","","CALCULATE(users_history[meas.exp_rpts_all_avg_perf_tier], time_intelligence[filt_item] = ""LAST_YEAR"")","Calculates average exp rpts last year average performance tier. Applies the Last Year time-intelligence filter."
"meas.exp_rpts_prior_to_last_year_avg_perf_tier","","CALCULATE(users_history[meas.exp_rpts_all_avg_perf_tier], time_intelligence[filt_item] = ""PRIOR_TO_LAST_YEAR"")","Calculates average exp rpts prior to last year average performance tier. Applies the Prior-to-Last-Year time-intelligence filter."
"meas.exp_rpts_current_year_avg_perf_tier","","CALCULATE(users_history[meas.exp_rpts_all_avg_perf_tier], time_intelligence[filt_item] = ""CURRENT_YEAR"")","Calculates average exp rpts current year average performance tier. Applies the Current Year time-intelligence filter."
"meas.data_logs_user_count_all","","[meas.data_logs_user_count_eop_for_dept_mkt]+[meas.data_logs_user_count_eop_for_dept_nd]+[meas.data_logs_user_count_eop_for_dept_ops]+[meas.data_logs_user_count_eop_for_dept_other]+[meas.data_logs_user_count_eop_for_dept_sales]+[meas.data_logs_user_count_eop_for_dept_support]","Counts data logs user count all."
"meas.calibration_user_role_title","","""User Roles - "" & [meas.prior_year] & "" Full Calendar Year""","Returns dynamic title text for user role calibration view, including selected prior-year context."
"meas.data_logs_ci_perf_annual_avg_bookings_account_executive","","var end_date =   [meas.companies_history_reference_date]","Calculates average data logs customer intelligence performance annual average bookings account executive. Calculates peer context values using the selected role. Compares against same period last year where applicable."
"meas.data_logs_ci_perf_annual_avg_bookings_account_manager","","var end_date =   [meas.companies_history_reference_date]","Calculates average data logs customer intelligence performance annual average bookings account manager. Calculates peer context values using the selected role. Compares against same period last year where applicable."
"meas.data_logs_ci_perf_annual_avg_pipeline_created_sdr","","var end_date =   [meas.companies_history_reference_date]","Calculates average data logs customer intelligence performance annual average pipeline created sdr. Calculates peer context values using the selected role. Compares against same period last year where applicable."
"meas.perf_consider_mrasure","","""To be considered a Performer, a rep needs to fall within +/- 35% of AAB / AAPC""","Returns explanatory text describing how performer classification is determined."
"meas.calibration_department_title","","""Department - "" & [meas.prior_year] & "" Full Calendar Year""","Returns dynamic title text for department calibration view, including selected prior-year context."
"meas.calibration_group_title","","""Group - "" & [meas.prior_year] & "" Full Calendar Year""","Returns dynamic title text for group calibration view, including selected prior-year context."
"meas.data_logs_ci_perf_status","","-- get the dates","Returns status classification for data logs customer intelligence performance status."
"meas.data_logs_user_12_Mos_ci_perf_status","","-- get the dates","Returns status classification for data logs user 12 Mos customer intelligence performance status."
"meas.data_logs_user_count_rep_eop","","var end_date = CALCULATE(MAX(cal_end_dates[Date])) // getting the latest date from the cal_end_date(perio_last_date)","Counts data logs user count rep end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.ramping_reps_details_title","","""Ramping Reps -   "" & [meas.step_owner_user_role_aliased]","Returns dynamic title text for ramping representatives details, including selected owner user context."
"meas.reps_w_time_allocation_prospecting_count","","CALCULATE(DISTINCTCOUNT(users_history[_sys_user_id]), (users_history[ci_time_alloc_prospecting])>0)","Counts reps w time allocation prospecting count."
"meas.reps_w_time_allocation_prospecting_pct","","var reps_w_ta = [meas.reps_w_time_allocation_prospecting_count]","Calculates reps w time allocation prospecting percentage as a percentage."
"meas.reps_w_time_allocation_new_logo_count","","CALCULATE(DISTINCTCOUNT(users_history[_sys_user_id]), (users_history[ci_time_alloc_new_logo])>0)","Counts reps w time allocation new logo count."
"meas.reps_w_time_allocation_new_logo_pct","","var reps_w_ta = [meas.reps_w_time_allocation_new_logo_count]","Calculates reps w time allocation new logo percentage as a percentage."
"meas.reps_w_time_allocation_prospect_pct","","var reps_w_ta = [meas.reps_w_time_allocation_count]","Calculates reps w time allocation prospect percentage as a percentage."
"meas.reps_all_time_allocation_count","","CALCULATE(DISTINCTCOUNT(users_history[_sys_user_id]))","Counts reps all time allocation count."
"meas.data_logs_user_rep_mgr_ratio_updated","","VAR _total_role = CALCULATE(","Calculates data logs user rep manager ratio updated as a ratio."
"meas.data_logs_users_tenure","","-- get the dates","Calculates data logs users tenure for workforce and activity data monitoring."
"meas.data_logs_users_ramping_status","","-- get the dates","Returns status classification for data logs users ramping status."
"meas.users_history_ci_time_alloca_avg_existing_cust_selling","","CALCULATE(","Calculates average users history customer intelligence time alloca average existing cust selling."
"meas.users_history_time_allocation_confidence","","var avg_value = AVERAGE(users_history[ci_time_alloc_conf])    // get the avg of ci time allocation confidence","Returns numeric average confidence score for time allocation quality."
"meas.users_history_time_allocation_confidence_status","","var _conf = ROUND(AVERAGE(users_history[ci_time_alloc_conf]),2)*100    // get the avg of ci time allocation confidence","Returns narrative confidence-band text for time allocation quality (Limited, Fair, Good, Great, Excellent) for audience-facing explanation; not intended for numeric calculations."
"meas.time_allocation_confidence","","var _conf = ROUND(AVERAGE(users_history[ci_time_alloc_conf]),2)*100    // get the avg of ci time allocation confidence","Returns narrative confidence-band text for time allocation quality (Limited, Fair, Good, Great, Excellent) for audience-facing explanation; not intended for numeric calculations."
"meas.peek_inside_text_supports_aab","","""AAB""","Returns static label text for the AAB support tile."
"meas.peek_inside_text_supports_aapc","","""AAPC""","Returns static label text for the AAPC support tile."
"meas.peek_inside_text_supports_ramping_time","","""Ramping Time""","Returns static label text for the ramping-time support tile."
"meas.peek_inside_text_supports_trueai_reference_date","","""TrueAI Reference Date""","Returns static label text for the TrueAI reference-date support tile."
"meas.users_history_r2_bg_color","","var pros_r2 = [meas.propensity_tier_prospecting_r2]","Returns color code used for conditional background formatting of users history r2 bg color."
"meas.users_history_auc_bg_color","","var pros_auc = [meas.propensity_tier_prospecting_auc]","Returns color code used for conditional background formatting of users history auc bg color."
"meas.users_history_avg_act_capt_lvl","","var _min_date = [meas.context_date_min]        // get the context min date","Calculates average users history average activity capt lvl. Uses the selected date range context."
"meas.users_history_ci_time_alloca_avg_prospecting","","CALCULATE(","Calculates average users history customer intelligence time alloca average prospecting."
"meas.users_history_ci_time_alloca_avg_new_logo_selling","","CALCULATE(","Calculates average users history customer intelligence time alloca average new logo selling."
"meas.users_history_ci_time_alloca_avg_post_sales_support","","CALCULATE(","Calculates average users history customer intelligence time alloca average post sales support."
"meas.users_history_ci_time_alloca_avg_internel","","CALCULATE(","Calculates average users history customer intelligence time alloca average internel."
"meas.reps_without_act_lvl_count","","var reps_tot = CALCULATE(DISTINCTCOUNT([_sys_user_id]), users_history[ci_act_capt_lvl]=BLANK())","Counts reps without activity lvl count."
"meas.reps_without_act_lvl_pct","","var reps_w_acl = [meas.reps_without_act_lvl_count]","Calculates reps without activity lvl percentage as a percentage."
"meas.reps_has_ci_act_capt_lvl","","var res=IF(","Calculates reps has customer intelligence activity capt lvl."
"meas.ci_act_capt_lvl_pi_owner_act","","var _prospect_count = SUM(users_history[ci_act_capt_lvl_pi_prospecting_owner_act])","Calculates customer intelligence activity capt lvl pi owner activity."
"meas.underperformer_annual_avg","","CALCULATE(","Calculates average underperformer annual average."
"meas.performer_annual_avg","","CALCULATE(","Calculates average performer annual average."
"meas.overperformer_annual_avg","","CALCULATE(","Calculates average overperformer annual average."
"meas.min_user_role_alias","","MINX(","Calculates min user role alias."
"meas.ci_sb_closing_ability_num","","VAR score_raw =","Calculates customer intelligence sb closing ability num."
"meas.ci_sb_work_effort_num","","VAR score_raw =","Calculates customer intelligence sb work effort num."
"meas.ci_sb_discov_skills_num","","VAR score_raw =","Calculates customer intelligence sb discov skills num."
"meas.ci_sb_engmt_ability_num","","VAR score_raw =","Calculates customer intelligence sb engmt ability num."
"meas.ci_sb_deal_maxing_num","","VAR score_raw =","Calculates customer intelligence sb deal maxing num."
"meas.ci_sb_time_management_num","","VAR score_raw =","Calculates customer intelligence sb time management num. Calculates peer context values using the selected role."
"meas.ci_sb_closing_ability_num_peer","","VAR _selectedRole =","Calculates customer intelligence sb closing ability num peer. Calculates peer context values using the selected role."
"meas.ci_sb_work_effort_num_peer","","VAR _selectedRole =","Calculates customer intelligence sb work effort num peer. Calculates peer context values using the selected role."
"meas.ci_sb_discov_skills_num_peer","","VAR _selectedRole =","Calculates customer intelligence sb discov skills num peer. Calculates peer context values using the selected role."
"meas.ci_sb_engmt_ability_num_peer","","VAR _selectedRole =","Calculates customer intelligence sb engmt ability num peer. Calculates peer context values using the selected role."
"meas.ci_sb_deal_maxing_num_peer","","VAR _selectedRole =","Calculates customer intelligence sb deal maxing num peer. Calculates peer context values using the selected role."
"meas.ci_sb_time_management_num_peer","","VAR _selectedRole =","Calculates customer intelligence sb time management num peer. Calculates peer context values using the selected role."
"meas.ci_sb_closing_ability_num_L12M","","VAR _latestSelectedDate =","Calculates rolling 12-month value for customer intelligence sb closing ability num L12M. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_work_effort_num_L12M","","VAR _latestSelectedDate =","Calculates rolling 12-month value for customer intelligence sb work effort num L12M. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_discov_skills_num_L12M","","VAR _latestSelectedDate =","Calculates rolling 12-month value for customer intelligence sb discov skills num L12M. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_engmt_ability_num_L12M","","VAR _latestSelectedDate =","Calculates rolling 12-month value for customer intelligence sb engmt ability num L12M. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_deal_maxing_num_L12M","","VAR _latestSelectedDate =","Calculates rolling 12-month value for customer intelligence sb deal maxing num L12M. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_time_management_num_L12M","","VAR _latestSelectedDate =","Calculates rolling 12-month value for customer intelligence sb time management num L12M. Anchors calculation to the latest selected reporting date."
"meas.selected_period_performance_tier","","VAR TierTable =","Calculates selected period performance tier."
"meas.quarterly_tier","","VAR QuarterStart =","Calculates quarterly tier."
"meas.show_last_4_quarters","","VAR LastFullMonthEnd =","Calculates show last 4 quarters. Anchors calculation to the latest selected reporting date."
"meas.show_last_4Q","","VAR SelectedMaxDate =","Calculates show last 4Q. Anchors calculation to the latest selected reporting date."
"meas.tier_last4Q","","CALCULATE(SELECTEDVALUE(users_history[col.ci_perf_qtly_performance_tier_num]),","Calculates tier last4Q."
"meas.users_history_ci_time_alloca_avg_existing_cust_selling_3mo","","var end_date = [meas.cal_end_sel_date]","Calculates average users history customer intelligence time alloca average existing cust selling 3mo."
"meas.users_history_ci_time_alloca_avg_internel_3mo","","var end_date = [meas.cal_end_sel_date]","Calculates average users history customer intelligence time alloca average internel 3mo."
"meas.users_history_ci_time_alloca_avg_new_logo_selling_3mo","","var end_date = [meas.cal_end_sel_date]","Calculates average users history customer intelligence time alloca average new logo selling 3mo."
"meas.users_history_ci_time_alloca_avg_post_sales_support_3mo","","var end_date = [meas.cal_end_sel_date]","Calculates average users history customer intelligence time alloca average post sales support 3mo."
"meas.users_history_ci_time_alloca_avg_prospecting_3mo","","var end_date = [meas.cal_end_sel_date]","Calculates average users history customer intelligence time alloca average prospecting 3mo. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_existing_cust_selling_3mo_peer","","VAR _selectedRole =","Calculates average users history customer intelligence time alloca average existing cust selling 3mo peer. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_internel_3mo_peer","","VAR _selectedRole =","Calculates average users history customer intelligence time alloca average internel 3mo peer. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_new_logo_selling_3mo_peer","","VAR _selectedRole =","Calculates average users history customer intelligence time alloca average new logo selling 3mo peer. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_post_sales_support_3mo_peer","","VAR _selectedRole =","Calculates average users history customer intelligence time alloca average post sales support 3mo peer. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_prospecting_3mo_peer","","VAR _selectedRole =","Calculates average users history customer intelligence time alloca average prospecting 3mo peer. Calculates peer context values using the selected role."
"meas.ai_scores_ci_sb_mean","","(([meas.ai_scores_ci_discovery_skill]+ [meas.ai_scores_ci_engagement_ability]+[meas.ai_scores_ci_closing_ability]+[meas.ai_scores_ci_deal_maxing]+[meas.ai_scores_ci_work_effort]+[meas.ai_scores_ci_time_management])/6)*100","Calculates mean customer-intelligence score by averaging six customer-intelligence score components."
"meas.selected_period_performance_tier_num","","VAR TierTable =","Calculates selected period performance tier num."
"meas.rooster_matched_user_count","","CALCULATE([meas.data_logs_user_count_eop],users[col.is_ext_match_id]=""True"")","Counts rooster matched user count. Calculates peer context values using the selected role."
