"measure","description"
"meas.ssr_history_success_count_existing_customer_selling","Calculates the number of success count existing customer selling where step is Existing Customer Selling, successful records."
"meas.ssr_history_success_count_post_sales","Calculates the number of success count post sales where step is Post-Sales Support, successful records."
"meas.ssr_history_success_count_new_logo","Calculates the number of success count new logo where step is New Logo Selling, successful records."
"meas.ssr_history_success_prob_avg_new_logo","Returns the average success probability average new logo where step is New Logo Selling."
"meas.ssr_history_success_prob_avg_post_sales","Returns the average success probability average post sales where step is Post-Sales Support."
"meas.ssr_history_success_prob_avg_existing_customer_selling","Returns the average success probability average existing customer selling where step is Existing Customer Selling."
"meas.ssr_history_duration_hrs_prospecting","Summarizes duration hours prospecting where step is Prospecting."
"meas.ssr_history_success_rate_new_logo","Calculates success rate new logo in the current reporting context."
"meas.ssr_history_success_rate_existing_customer_selling","Calculates success rate existing customer selling in the current reporting context."
"meas.ssr_history_success_rate_post_sales","Calculates success rate post sales in the current reporting context."
"meas.ssr_history_accts_per_rep","Calculates the number of accounts per rep."
"meas.ssr_history_accts_per_rep_prospecting","Calculates accounts per rep prospecting in the current reporting context."
"meas.ssr_history_accts_per_rep_new_logo","Average number of accounts per rep."
"meas.ssr_history_accts_per_rep_post_sales","Average number of accounts per rep."
"meas.ssr_history_accts_per_rep_existing_customer_selling","Average number of accounts per rep."
"meas.ssr_history_success_rate_untouched","Calculates success rate untouched in the current reporting context."
"meas.ssr_history_duration_hrs_per_acct","Average duration hours per touched account."
"meas.ssr_history_duration_hrs","Returns duration hours."
"meas.ssr_history_success_prob_avg_combined_prospecting_new_logo","Calculates success probability average combined prospecting new logo in the current reporting context."
"meas.ssr_history_reps_new_logo","Calculates reps new logo in the current reporting context."
"meas.ssr_history_reps_prospecting","Calculates reps prospecting in the current reporting context."
"meas.ssr_history_reps_post_sales","Calculates reps post sales in the current reporting context."
"meas.ssr_history_reps_existing_customer_selling","Calculates reps existing customer selling in the current reporting context."
"meas.ssr_history_success_prob_avg_combined_post_sales_existing_customer_selling","Calculates success probability average combined post sales existing customer selling in the current reporting context."
"meas.ssr_history_existing_customer_selling_annual_purchases_acct","Returns existing customer selling annual purchases account."
"meas.ssr_history_success_rate_combined_post_sales_existing_customer_selling","Calculates success rate combined post sales existing customer selling in the current reporting context."
"meas.ssr_history_success_rate_combined_prospecting_new_logo","Calculates success rate combined prospecting new logo in the current reporting context."
"meas.ssr_history_rev_ending_amt","Calculates the number of revenue ending amount."
"meas.ssr_history_rev_prev_date","Calculates the number of revenue prev date."
"meas.ssr_history_rev_retention_rate","Returns revenue retention rate."
"meas.ssr_history_leads_mkt_gen","Calculates leads mkt gen in the current reporting context."
"meas.ssr_history_leads_mkt_gen_probability_of_conversion","Returns the average leads mkt generation probability of conversion where step is Untouched."
"meas.ssr_history_leads_mkt_gen_vi_vc","Summarizes leads mkt generation vi vc where step is Lead Gen."
"meas.ssr_history_leads_sales_gen_probability_of_conversion","Returns the average leads sales generation probability of conversion where step is Untouched."
"meas.ssr_history_leads_sales_gen_vi_vc","Summarizes leads sales generation vi vc where step is Lead Gen."
"meas.ssr_history_leads_inbound","Calculates the number of leads inbound where step is Lead Gen."
"meas.ssr_history_leads_outbound","Calculates the number of leads outbound where step is Lead Gen."
"meas.ssr_history_leads_inbound_probability_of_conversion","Returns the average leads inbound probability of conversion where step is Untouched."
"meas.ssr_history_leads_inbound_vi_vc","Summarizes leads inbound vi vc where step is Lead Gen."
"meas.ssr_history_leads_outbound_probability_of_conversion","Returns the average leads outbound probability of conversion where step is Untouched."
"meas.ssr_history_leads_outbound_vi_vc","Summarizes leads outbound vi vc where step is Lead Gen."
"meas.ssr_history_vi_value_created_per_hr","Summarizes vi value created per hr."
"meas.ssr_history_duration_hrs_per_step","Returns the average duration hours per step."
"meas.ssr_history_vi_value_created_per_rep","Calculates vi value created per rep in the current reporting context."
"meas.ssr_history_duration_hrs_rep_week","Calculates duration hours rep week in the current reporting context."
"meas.ssr_history_reps","Calculates reps in the current reporting context."
"meas.ssr_history_open_pipeline_amount_eop","Summarizes open pipeline amount end of period."
"meas.ssr_history_open_pipeline_count_eop","Calculates the number of open pipeline count end of period."
"meas.ssr_history_step_cycle_avg","Returns the average step cycle average."
"meas.ssr_history_step_cycle_avg_success","Returns the average step cycle average success for successful records."
"meas.ssr_history_step_cycle_avg_failure","Returns the average step cycle average failure."
"meas.ssr_history_success_rate_sply","Calculates the number of success rate same period last year."
"meas.ssr_history_success_count_sply","Calculates the number of success count same period last year for successful records."
"meas.ssr_history_rev_avg_won_amt","Returns the average revenue average won amount."
"meas.ssr_history_open_pipeline_win_rate","Returns open pipeline win rate."
"meas.ssr_history_step_count","Calculates the number of step count."
"meas.ssr_history_step_count_sply","Calculates the number of step count same period last year."
"meas.ssr_history_step_cycle_initially_expected","Returns the average step cycle initially expected."
"meas.ssr_history_propensity_highest_count","Calculates the number of propensity highest count."
"meas.ssr_history_propensity_high_count","Calculates the number of propensity high count."
"meas.ssr_history_propensity_mid_count","Calculates the number of propensity mid count."
"meas.ssr_history_propensity_low_count","Calculates the number of propensity low count."
"meas.ssr_history_propensity_lowest_count","Calculates the number of propensity lowest count."
"meas.ssr_history_duration_hrs_per_prior_step","Calculates the number of duration hours per prior step."
"meas.ssr_history_failure_lost_stage_early_count","Calculates the number of failure lost stage early count."
"meas.ssr_history_failure_lost_stage_late_count","Calculates the number of failure lost stage late count."
"meas.ssr_history_failure_lost_stage_mid_count","Calculates the number of failure lost stage mid count."
"meas.ssr_history_all_activity_engagement_rate","Calculates all activity engagement rate in the current reporting context."
"meas.ssr_history_all_phone_call_avg_count","Calculates all phone call average count in the current reporting context."
"meas.ssr_history_all_phone_call_engagement_rate","Calculates all phone call engagement rate in the current reporting context."
"meas.ssr_history_all_email_avg_count","Calculates all email average count in the current reporting context."
"meas.ssr_history_all_social_media_avg_count","Calculates all social media average count in the current reporting context."
"meas.ssr_history_all_meeting_avg_count","Calculates all meeting average count in the current reporting context."
"meas.ssr_history_all_email_engagement_rate","Calculates all email engagement rate in the current reporting context."
"meas.ssr_history_all_social_media_engagement_rate","Calculates all social media engagement rate in the current reporting context."
"meas.ssr_history_all_meeting_engagement_rate","Calculates all meeting engagement rate in the current reporting context."
"meas.ssr_history_stakeholders_title_function_most_common","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_stakeholders_title_level_most_common","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_stakeholders_title_function_most_common_portion","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_stakeholders_title_level_most_common_portion","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_stakeholders_title_function_second_common","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_stakeholders_title_level_second_common","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_stakeholders_title_function_second_common_portion","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_stakeholders_title_level_second_common_portion","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_row_filler","Returns row filler."
"meas.ssr_history_stakeholders_title_level__most_common_highest","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_stakeholders_title_level__most_common_highest_portion","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_duration_prior_step_hrs","Calculates duration prior step hours in the current reporting context."
"meas.ssr_history_duration_hrs_prosp_new_logo","Returns duration hours prosp new logo."
"meas.ssr_history_duration_hrs_post_sales_existing_customer_selling","Returns duration hours post sales existing customer selling."
"meas.ssr_history_leads","Calculates the number of leads where step is Lead Gen."
"meas.ssr_history_success_count_untouched","Calculates the number of success count untouched where step is Untouched, successful records."
"meas.ssr_history_success_count_lead_gen","Calculates the number of success count lead generation where step is Untouched, successful records."
"meas.ssr_history_success_count_for_new_logo_and_existing_customer_selling","Returns success count for new logo and existing customer selling."
"meas.ssr_history_success_rate_combined_new_logo_and_existing_customer_selling","Returns success rate combined new logo and existing customer selling."
"meas.ssr_history_rev_ending_avg_acct_amt","Calculates revenue ending average account amount in the current reporting context."
"meas.ssr_history_rev_ending_max_acct_amt","Summarizes revenue ending max account amount."
"meas.ssr_history_rev_pareto_count","Summarizes revenue pareto count."
"meas.ssr_history_rev_pareto_count_tot","Summarizes revenue pareto count total."
"meas.ssr_history_rev_pareto_percentage","Calculates revenue pareto percentage in the current reporting context."
"meas.ssr_history_rev_pareto_percentage_remaining","Calculates revenue pareto percentage remaining in the current reporting context."
"meas.ssr_history_rep_users_avg","Returns the average rep users average."
"meas.ssr_history_pipeline_amt_user_eop_avg","Calculates pipeline amount user eop average in the current reporting context."
"meas.ssr_history_accts_per_rep_new_business","Average number of accounts per rep in Untouched + Prospecting + New Logo Selling."
"meas.ssr_history_accts_per_rep_existing_business","Average number of accounts per rep in Post-Sales Support + Existing Customer Selling."
"meas.ssr_history_accts_per_rep_new_business_sold_to","Average number of won accounts per rep in Untouched + Prospecting + New Logo Selling."
"meas.ssr_history_accts_per_rep_new_business_won","Average number of won accounts per rep in Untouched + Prospecting + New Logo Selling."
"meas.ssr_history_accts_per_rep_new_business_prospected_to","Average number of won accounts per rep in Untouched + Prospecting + New Logo Selling."
"meas.ssr_history_accts_per_rep_existing_business_supported","Average number of won accounts per rep in Post-Sales Support + Existing Customer Selling."
"meas.ssr_history_accts_per_rep_existing_business_upsold_to","Average number of won accounts per rep in Post-Sales Support + Existing Customer Selling."
"meas.ssr_history_accts_per_rep_existing_business_won","Average number of won accounts per rep in Post-Sales Support + Existing Customer Selling."
"meas.ytd_sales","Summarizes year-to-date sales."
"meas.ssr_history_step_success_count_true","Calculates step success count true in the current reporting context."
"meas.ssr_history_step_success_count_false","Calculates step success count false in the current reporting context."
"meas.ssr_history_success_prob_avg_combined_prospecting_post_sales_support","Returns the average success probability average combined prospecting post sales support where step is Prospecting or Post-Sales Support."
"meas.ssr_history_success_prob_avg_combined_prospecting_post_sales_support_sply","Returns success probability average combined prospecting post sales support same period last year."
"meas.ssr_history_leads_gen_vi_vc","Summarizes leads generation vi vc where step is Lead Gen."
"meas.ssr_history_leads_probability_of_conversion","Returns the average leads probability of conversion where step is Lead Gen, step Prospecting."
"meas.ssr_history_leads_touched","Calculates leads touched in the current reporting context."
"meas.ssr_history_leads_touched_ratio","Calculates leads touched ratio in the current reporting context."
"meas.ssr_history_leads_touched_avg_days","Calculates leads touched average days in the current reporting context."
"meas.ssr_history_is_open_pipeline","Returns total open pipeline amount as of the selected as-of date where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_win_prob","Returns total open pipeline amount as of the selected as-of date where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_count","Returns the number of opportunities that are open as of the selected as-of date where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_amt","Returns total open pipeline amount as of the selected as-of date where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_adj_amt","Returns total open pipeline amount as of the selected as-of date where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_age","Returns total open pipeline amount as of the selected as-of date where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_days_pushed","Returns total open pipeline amount as of the selected as-of date where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_count_sply_diff","Returns asof open pipeline count same period last year difference."
"meas.ssr_history_asof_open_pipeline_count_sply","Returns the number of opportunities that are open as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_amt_sply","Returns total open pipeline amount as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_age_sply","Returns total open pipeline amount as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_adj_amt_sply","Returns total open pipeline amount as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_days_pushed_sply","Returns total open pipeline amount as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_win_prob_sply","Returns total open pipeline amount as of the selected as-of date in the same period last year where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_asof_open_pipeline_win_prob_sply_diff","Returns asof open pipeline win probability same period last year difference."
"meas.ssr_history_asof_open_pipeline_adj_amt_sply_diff","Returns asof open pipeline adjusted amount same period last year difference."
"meas.ssr_history_asof_open_pipeline_age_sply_diff","Returns asof open pipeline age same period last year difference."
"meas.ssr_history_asof_open_pipeline_amt_sply_diff","Returns asof open pipeline amount same period last year difference."
"meas.ssr_history_asof_open_pipeline_days_pushed_sply_diff","Returns asof open pipeline days pushed same period last year difference."
"meas.opps_asof_open_pipeline_count","Returns the number of opportunities that are open as of the selected as-of date."
"meas.ssr_history_won_amt","Calculates won amount in the current reporting context."
"meas.ssr_history_booking_amt","Summarizes booking amount."
"meas.ssr_history_pipeline_amt","Summarizes pipeline amount."
"meas.exp_rpts_all_won_amt","Calculates won amount across successful New Logo Selling and Existing Customer Selling records within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods."
"meas.exp_rpts_all_won_deals","Calculates the number of successful won deals across New Logo Selling and Existing Customer Selling steps within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods."
"meas.exp_rpts_last_year_won_amt","Calculates won amount across successful New Logo Selling and Existing Customer Selling records for Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_all_closed_deals","Calculates the number of closed deals across New Logo Selling and Existing Customer Selling steps within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods."
"meas.exp_rpts_all_expected_win_rate","Calculates the average expected win probability across New Logo Selling and Existing Customer Selling steps within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods."
"meas.exp_rpts_all_new_logo_won_amt","Calculates won amount for successful New Logo Selling records within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods."
"meas.exp_rpts_all_new_logo_won_deals","Calculates the number of successful won deals in New Logo Selling within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods."
"meas.exp_rpts_all_pipeline_amt","Calculates pipeline amount for successful Prospecting and Post-Sales Support records within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods."
"meas.exp_rpts_all_lead_gen","Calculates the number of successful Lead Generation records within the current reporting context. Used to evaluate sales performance across teams, reps, stages, or periods."
"meas.exp_rpts_last_year_won_deals","Calculates the number of successful won deals across New Logo Selling and Existing Customer Selling steps for Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_last_year_closed_deals","Calculates the number of closed deals across New Logo Selling and Existing Customer Selling steps for Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_last_year_expected_win_rate","Calculates the average expected win probability across New Logo Selling and Existing Customer Selling steps for Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_last_year_new_logo_won_amt","Calculates won amount for successful New Logo Selling records for Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_last_year_new_logo_won_deals","Calculates the number of successful won deals in New Logo Selling for Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_last_year_pipeline_amt","Calculates pipeline amount for successful Prospecting and Post-Sales Support records for Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_last_year_lead_gen","Calculates the number of successful Lead Generation records for Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_prior_to_last_year_won_deals","Calculates the number of successful won deals across New Logo Selling and Existing Customer Selling steps for Prior to Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_prior_to_last_year_closed_deals","Calculates the number of closed deals across New Logo Selling and Existing Customer Selling steps for Prior to Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_prior_to_last_year_expected_win_rate","Calculates the average expected win probability across New Logo Selling and Existing Customer Selling steps for Prior to Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_prior_to_last_year_new_logo_won_amt","Calculates won amount for successful New Logo Selling records for Prior to Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_prior_to_last_year_new_logo_won_deals","Calculates the number of successful won deals in New Logo Selling for Prior to Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_prior_to_last_year_pipeline_amt","Calculates pipeline amount for successful Prospecting and Post-Sales Support records for Prior to Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_prior_to_last_year_lead_gen","Calculates the number of successful Lead Generation records for Prior to Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_prior_to_last_year_won_amt","Calculates won amount across successful New Logo Selling and Existing Customer Selling records for Prior to Last Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_current_year_won_deals","Calculates the number of successful won deals across New Logo Selling and Existing Customer Selling steps for Current Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_current_year_closed_deals","Calculates the number of closed deals across New Logo Selling and Existing Customer Selling steps for Current Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_current_year_expected_win_rate","Calculates the average expected win probability across New Logo Selling and Existing Customer Selling steps for Current Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_current_year_new_logo_won_amt","Calculates won amount for successful New Logo Selling records for Current Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_current_year_new_logo_won_deals","Calculates the number of successful won deals in New Logo Selling for Current Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_current_year_pipeline_amt","Calculates pipeline amount for successful Prospecting and Post-Sales Support records for Current Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_current_year_lead_gen","Calculates the number of successful Lead Generation records for Current Year. Used to compare sales performance across reporting periods."
"meas.exp_rpts_current_year_won_amt","Calculates won amount across successful New Logo Selling and Existing Customer Selling records for Current Year. Used to compare sales performance across reporting periods."
"meas.ssr_history_vi_value_created","Summarizes vi value created."
"meas.ssr_history_pipeline_post_sales_amt","Summarizes pipeline post sales amount where step is Post-Sales Support."
"meas.ssr_history_pipeline_prospecting_amt","Summarizes pipeline prospecting amount where step is Prospecting."
"meas.ssr_history_pipeline_post_sales_renewals_amt","Summarizes pipeline post sales renewals amount where step is Post-Sales Support."
"meas.ssr_history_pipeline_post_sales_expansion_sale_amt","Summarizes pipeline post sales expansion sale amount where step is Post-Sales Support."
"meas.ssr_history_avg_won_amt","Returns the average average won amount for successful records."
"meas.ssr_history_avg_booking_amt","Calculates average booking amount in the current reporting context."
"meas.ssr_history_avg_won_new_logo_amt","Returns the average average won new logo amount where step is New Logo Selling, successful records."
"meas.ssr_history_avg_won_existing_customer_selling_amt","Returns the average average won existing customer selling amount where step is Existing Customer Selling, successful records."
"meas.ssr_history_lost_amt","Returns the average lost amount where step is New Logo Selling or Existing Customer Selling."
"meas.ssr_history_table_row_count","Calculates table row count in the current reporting context."
"OLD.meas.ssr_history_duration_hrs_per_step","Calculates OLD.meas.ssr history duration hours per step in the current reporting context."
"meas.ssr_history_stakeholders_most_common_first_act","Redundant measure - slated for depreciation."
"meas.ssr_history_won_amt_new_logo","Summarizes won amount new logo where step is New Logo Selling."
"meas.ssr_history_won_amt_existing_customer_selling","Summarizes won amount existing customer selling where step is Existing Customer Selling."
"meas.ssr_history_rev_avg_won_amt_new_logo","Returns the average revenue average won amount new logo where step is New Logo Selling."
"meas.ssr_history_rev_avg_won_amt_existing_customer_selling","Returns the average revenue average won amount existing customer selling where step is Existing Customer Selling."
"meas.ssr_history_adj_dur_conf","Calculates adjusted duration confidence in the current reporting context."
"meas.ssr_history_active_list_reps_count","Calculates active list reps count in the current reporting context."
"meas.ssr_history_active_tot_open_pipeline_amt","Calculates active total open pipeline amount in the current reporting context."
"meas.ssr_history_active_opps_count","Calculates the number of active opportunities count."
"meas.ssr_history_active_user_booking_amt_mtd","Returns active user booking amount month-to-date where step is Existing Customer Selling or New Logo Selling, successful records."
"meas.ssr_history_active_user_booking_amt_qtd","Returns active user booking amount quarter-to-date where step is Existing Customer Selling or New Logo Selling, successful records."
"meas.ssr_history_active_user_booking_amt_ytd","Returns active user booking amount year-to-date where step is Existing Customer Selling or New Logo Selling, successful records."
"meas.ssr_history_active_deal_size","Summarizes active deal size."
"meas.ssr_history_active_avg_sales_cycle","Returns the average active average sales cycle."
"meas.ssr_history_active_open_pipe_amt","Calculates active open pipe amount in the current reporting context."
"meas.active_list_owner_user_role_aliased","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.ssr_history_active_user_full_name_role_group","Returns active user full name role group."
"meas.user_history_active_hire_date","Returns user history active hire date."
"meas.ssr_history_active_deals_count","Calculates the number of active deals count."
"meas.manager_direct_active_mgr_full_name","Calculates manager direct active mgr full name in the current reporting context."
"meas.ssr_history_active_user_pipeline_amt_qtd","Returns active user pipeline amount quarter-to-date where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_active_user_pipeline_amt_mtd","Returns active user pipeline amount month-to-date where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_active_user_pipeline_amt_ytd","Returns active user pipeline amount year-to-date where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_duration_hrs_rep_day","Calculates duration hours rep day in the current reporting context."
"meas.ssr_history_success_count_new_logo_pros","Calculates success count new logo pros in the current reporting context."
"meas.ssr_history_step_count_prospecting","Calculates the number of step count prospecting where step is Prospecting."
"meas.ssr_history_ssr_id_count","Calculates ssr id count in the current reporting context."
"meas.ssr_history_leads_avg_mkt_sales_probability_of_conversion","Calculates leads average mkt sales probability of conversion in the current reporting context."
"meas.ssr_history_unique_reps_count","Calculates unique reps count in the current reporting context."
"meas.ssr_history_unique_reps_avg_count","Calculates unique reps average count in the current reporting context."
"meas.ssr_history_all_reps_count","Calculates all reps count in the current reporting context."
"meas.ssr_history_duration_hrs_per_acct_post_sales_existing_customer_selling","Calculates duration hours per account post sales existing customer selling in the current reporting context."
"meas.ssr_history_duration_hrs_per_acct_prospect_new_logo","Calculates duration hours per account prospect new logo in the current reporting context."
"meas.users_spent_avg_dur_hr_mtd","Returns the average users spent average duration hr month-to-date."
"meas.users_spent_avg_eng_dur_hr_mtd","Returns the average users spent average eng duration hr month-to-date."
"meas.users_spent_weekly_avg_non_eng_dur_hr_mtd","Calculates users spent weekly average non eng duration hr month-to-date in the current reporting context."
"meas.users_weekly_avg_dur_hr_mtd","Returns the average users weekly average duration hr month-to-date."
"meas.users_weekly_avg_eng_dur_hr_mtd","Returns the average users weekly average eng duration hr month-to-date."
"meas.users_weekly_avg_dur_hr_qtd","Returns the average users weekly average duration hr quarter-to-date."
"meas.users_weekly_avg_eng_dur_hr_qtd","Returns the average users weekly average eng duration hr quarter-to-date."
"meas.users_weekly_avg_dur_hr_ytd","Returns the average users weekly average duration hr year-to-date."
"meas.users_weekly_avg_eng_dur_hr_ytd","Returns the average users weekly average eng duration hr year-to-date."
"meas.users_weekly_avg_non_eng_dur_hr_mtd","Calculates users weekly average non eng duration hr month-to-date in the current reporting context."
"meas.users_weekly_avg_non_eng_dur_hr_qtd","Calculates users weekly average non eng duration hr quarter-to-date in the current reporting context."
"meas.users_weekly_avg_non_eng_dur_hr_ytd","Calculates users weekly average non eng duration hr year-to-date in the current reporting context."
"meas.users_weekly_avg_eng_rate_mtd","Calculates users weekly average eng rate month-to-date in the current reporting context."
"meas.users_weekly_avg_eng_rate_qtd","Calculates users weekly average eng rate quarter-to-date in the current reporting context."
"meas.users_weekly_avg_eng_rate_ytd","Calculates users weekly average eng rate year-to-date in the current reporting context."
"meas.users_weekly_new_logo_avg_dur_hr_mtd","Returns the average users weekly new logo average duration hr month-to-date."
"meas.users_weekly_prospecting_avg_dur_hr_mtd","Returns the average users weekly prospecting average duration hr month-to-date."
"meas.users_weekly_existing_customer_selling_avg_dur_hr_mtd","Returns the average users weekly existing customer selling average duration hr month-to-date."
"meas.users_weekly_post_sales_avg_dur_hr_mtd","Returns the average users weekly post sales average duration hr month-to-date."
"meas.users_weekly_internal_avg_dur_hr_mtd","Returns the average internal time-allocation value for month-to-date."
"meas.users_weekly_new_logo_avg_dur_hr_qtd","Returns the average users weekly new logo average duration hr quarter-to-date."
"meas.users_weekly_prospecting_avg_dur_hr_qtd","Returns the average users weekly prospecting average duration hr quarter-to-date."
"meas.users_weekly_post_sales_avg_dur_hr_qtd","Returns the average users weekly post sales average duration hr quarter-to-date."
"meas.users_weekly_existing_customer_selling_avg_dur_hr_qtd","Returns the average users weekly existing customer selling average duration hr quarter-to-date."
"meas.users_weekly_internal_avg_dur_hr_qtd","Returns the average internal time-allocation value for quarter-to-date."
"meas.users_weekly_new_logo_avg_dur_hr_ytd","Returns the average users weekly new logo average duration hr year-to-date."
