"measure","current_purpose","expression_sample","replacement_description"
"meas.data_logs_user_count_eop_for_sdr","","CALCULATE(","Counts end-of-period users for Sales Development Representative."
"meas.data_logs_user_count_eop_for_all_sales_roles","","CALCULATE(","Counts end-of-period users for all sales roles."
"meas.data_logs_user_count_eop_for_mgr","","CALCULATE(","Counts end-of-period users for Management."
"meas.data_logs_user_count_eop_for_other","","CALCULATE(","Counts end-of-period users for Other roles."
"meas.data_logs_user_count_eop_for_dept_mkt","","CALCULATE(","Counts end-of-period users for department Marketing."
"meas.data_logs_user_count_eop_for_dept_sales","","CALCULATE(","Counts end-of-period users for department Sales."
"meas.data_logs_user_count_eop_for_dept_other","","CALCULATE(","Counts end-of-period users for department Other departments."
"meas.data_logs_user_count_change_perc","","VAR __BASELINE_VALUE = [meas.data_logs_user_count_bop]","Calculates data logs user count change perc."
"meas.data_logs_user_count_eop_for_nd","","CALCULATE(","Counts end-of-period users for Not Defined role."
"meas.reps_w_actlvl_pct","","var reps_w_acl = [meas.reps_w_actlvl_count]","Calculates percentage of representatives with activity capture level data."
"meas.reps_w_actlvl_count","","CALCULATE(DISTINCTCOUNT([_sys_user_id]), (users_history[ci_act_capt_lvl] > 0)","Counts representatives with activity capture level data."
"meas.reps_w_time_allocation_pct","","var reps_w_ta = [meas.reps_w_time_allocation_count]","Calculates percentage of representatives with time allocation data."
"meas.reps_w_time_allocation_count","","var fromDate =[meas.context_date_min]","Counts representatives with time allocation data. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.users_history_row_filler","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.sys.user_id_for_am","","CALCULATE(","Returns user identifier filtered to role Account Manager."
"meas.di.trueai_opps_won_amt_am_avg","","DIVIDE(","Calculates average won opportunity amount per user for role Account Manager."
"meas.sys.user_id_for_ae","","CALCULATE(","Returns user identifier filtered to role Account Executive."
"meas.sys.user_id_for_sdr","","CALCULATE(","Returns user identifier filtered to role Sales Development Representative."
"meas.sys.user_id_for_nd","","CALCULATE(","Returns user identifier filtered to role Not Defined role."
"meas.sys.user_id_for_other","","CALCULATE(","Returns user identifier filtered to role Other roles."
"meas.di.trueai_opps_won_amt_ae_avg","","DIVIDE(","Calculates average won opportunity amount per user for role Account Executive."
"meas.di.trueai_opps_won_amt_sdr_avg","","DIVIDE(","Calculates average won opportunity amount per user for role Sales Development Representative."
"meas.di.trueai_opps_won_amt_nd_avg","","DIVIDE(","Calculates average won opportunity amount per user for role Not Defined role."
"meas.di.trueai_opps_won_amt_mgr_avg","","DIVIDE(","Calculates average won opportunity amount per user for role Management."
"meas.sys.user_id_for_mgr","","CALCULATE(","Returns user identifier filtered to role Management."
"meas.di.trueai_opps_won_amt_other_avg","","DIVIDE(","Calculates average won opportunity amount per user for role Other roles."
"meas.count_trueai_user_role_account_executive","","var min_date = [meas.context_date_min]","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_account_manager","","var min_date = [meas.context_date_min]","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_sales_manager","","var min_date = [meas.context_date_min] // get the min date of the period","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_nd","","var min_date = [meas.context_date_min]","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_sales_development_rep","","var min_date = [meas.context_date_min] // get the min date of the period","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.user_history_count_dept_sales","","CALCULATE(","Counts users in the Sales department in the selected reporting period."
"meas.count_trueai_user_role_account_executive_in_group_nd","","CALCULATE(","Counts users for the specified role in the selected reporting period."
"meas.count_trueai_user_role_all_salesteam","","var min_date = [meas.context_date_min]","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_other","","var min_date = [meas.context_date_min] // get the min date of the period","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.count_trueai_user_role_sales_executive","","var min_date = [meas.context_date_min] // get the min date of the period","Counts users for the specified role in the selected reporting period. Uses the selected date range context."
"meas.data_logs_user_count_eop_for_dept_support","","CALCULATE(","Counts end-of-period users for department Support."
"meas.data_logs_user_count_eop_for_dept_ops","","CALCULATE(","Counts end-of-period users for department Operations."
"meas.data_logs_user_count_eop_for_dept_nd","","CALCULATE(","Counts end-of-period users for department Not Defined department."
"meas.data_logs_won_amt_user_eop_avg","","DIVIDE(","Calculates average won opportunity amount per end-of-period user."
"meas.data_logs_pipeline_amt_user_eop_avg","","DIVIDE(","Calculates average pipeline amount per end-of-period user."
"meas.data_logs_won_amt_user_eop_avg_for_new_logo_selling","","var reps = [meas.data_logs_user_count_eop]","Calculates average won opportunity amount per end-of-period user."
"meas.data_logs_won_amt_user_eop_avg_for_existing_acv","","var reps = [meas.data_logs_user_count_eop]","Calculates average won opportunity amount per end-of-period user."
"meas.data_logs_won_amt_user_eop_avg_for_new_acv","","var reps = [meas.data_logs_user_count_eop]","Calculates average won opportunity amount per end-of-period user."
"meas.user_history_user_new_hires_terminated_in_12_month_pos","","var fromDate =[meas.context_date_min]","Counts new hires terminated within twelve months. Uses the selected date range context."
"meas.data_logs_won_amt_user_eop_avg_for_existing_customer_selling","","var reps = [meas.data_logs_user_count_eop]","Calculates average won opportunity amount per end-of-period user."
"meas.users_history_row_filler2","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler3","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler4","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler5","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler6","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler7","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler8","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler9","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler10","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler11","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler12","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler13","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler14","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.users_history_row_filler15","","""""","Helper measure that returns blank text to preserve visual layout spacing."
"meas.data_logs_user_turnover_pct","","var res =DIVIDE(","Calculates overall turnover percentage for the selected period."
"meas.time_allocation_total_not_eng","","AVERAGE('users_history'[ci_time_alloc_tot]) - AVERAGE('users_history'[ci_time_alloc_tot_eng])","Calculates average non-engagement time allocation share."
"meas.users_history_ta_potential_vs_actual","","var uh_filt_tbl = CALCULATETABLE(users_history, users_history[ci_time_alloc_tot] <> blank())","Calculates comparison between potential and actual time allocation in the selected context."
"meas.data_logs_user_turnover_pct_regrettable","","var res = DIVIDE(","Calculates regrettable turnover percentage for the selected period."
"meas.data_logs_user_new_terminations_regrettable","","var tbl_perf_users = SUMMARIZE(users_history , users_history[_sys_user_id], ""months"", Count(users_history[_sys_doc_id]), ""avg_perf_tier_num"", AVERAGE(users_history[ci_perf_qtly_performance_tier_num])+ 0)","Counts regrettable terminations during the selected period."
"meas.users_history_user_role_function_concat_w_count_eop","","var fromDate =[meas.context_date_min]","Returns role label text concatenated with end-of-period user count. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.exp_rpts_all_avg_perf_tier","","var calc = CALCULATE(AVERAGE(users_history[ci_perf_qtly_performance_tier_num]))","Calculates average performance tier across the selected reporting context."
"meas.exp_rpts_last_year_avg_perf_tier","","CALCULATE(users_history[meas.exp_rpts_all_avg_perf_tier], time_intelligence[filt_item] = ""LAST_YEAR"")","Calculates average performance tier for Last Year using time-intelligence filter. Applies the Last Year time-intelligence filter."
"meas.exp_rpts_prior_to_last_year_avg_perf_tier","","CALCULATE(users_history[meas.exp_rpts_all_avg_perf_tier], time_intelligence[filt_item] = ""PRIOR_TO_LAST_YEAR"")","Calculates average performance tier for Prior to Last Year using time-intelligence filter. Applies the Prior-to-Last-Year time-intelligence filter."
"meas.exp_rpts_current_year_avg_perf_tier","","CALCULATE(users_history[meas.exp_rpts_all_avg_perf_tier], time_intelligence[filt_item] = ""CURRENT_YEAR"")","Calculates average performance tier for Current Year using time-intelligence filter. Applies the Current Year time-intelligence filter."
"meas.data_logs_user_count_all","","[meas.data_logs_user_count_eop_for_dept_mkt]+[meas.data_logs_user_count_eop_for_dept_nd]+[meas.data_logs_user_count_eop_for_dept_ops]+[meas.data_logs_user_count_eop_for_dept_other]+[meas.data_logs_user_count_eop_for_dept_sales]+[meas.data_logs_user_count_eop_for_dept_support]","Calculates data logs user count all."
"meas.calibration_user_role_title","","""User Roles - "" & [meas.prior_year] & "" Full Calendar Year""","Returns dynamic title text for the user-role calibration view, including selected prior-year context. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_bookings_account_executive","","var end_date =   [meas.companies_history_reference_date]","Calculates annual average bookings performance for the selected user scope. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_bookings_account_manager","","var end_date =   [meas.companies_history_reference_date]","Calculates annual average bookings performance for the selected user scope. Calculates peer context values using the selected role."
"meas.data_logs_ci_perf_annual_avg_pipeline_created_sdr","","var end_date =   [meas.companies_history_reference_date]","Calculates annual average pipeline-created performance for the selected user scope. Calculates peer context values using the selected role."
"meas.perf_consider_mrasure","","""To be considered a Performer, a rep needs to fall within +/- 35% of AAB / AAPC""","Returns explanatory guidance text that defines performer criteria used in this report."
"meas.calibration_department_title","","""Department - "" & [meas.prior_year] & "" Full Calendar Year""","Returns dynamic title text for the department calibration view, including selected prior-year context."
"meas.calibration_group_title","","""Group - "" & [meas.prior_year] & "" Full Calendar Year""","Returns dynamic title text for the group calibration view, including selected prior-year context."
"meas.data_logs_ci_perf_status","","-- get the dates","Returns annual performance status classification for users based on configured thresholds."
"meas.data_logs_user_12_Mos_ci_perf_status","","-- get the dates","Returns 12-month performance status classification for users based on configured thresholds."
"meas.data_logs_user_count_rep_eop","","var end_date = CALCULATE(MAX(cal_end_dates[Date])) // getting the latest date from the cal_end_date(perio_last_date)","Calculates data logs user count rep end of period. Uses the selected date range context. Uses the latest snapshot date within the current filter context."
"meas.ramping_reps_details_title","","""Ramping Reps -   "" & [meas.step_owner_user_role_aliased]","Returns dynamic title text for ramping representatives details, including selected owner context."
"meas.reps_w_time_allocation_prospecting_count","","CALCULATE(DISTINCTCOUNT(users_history[_sys_user_id]), (users_history[ci_time_alloc_prospecting])>0)","Counts representatives with time allocation assigned to Prospecting."
"meas.reps_w_time_allocation_prospecting_pct","","var reps_w_ta = [meas.reps_w_time_allocation_prospecting_count]","Calculates percentage of representatives with time allocation assigned to Prospecting."
"meas.reps_w_time_allocation_new_logo_count","","CALCULATE(DISTINCTCOUNT(users_history[_sys_user_id]), (users_history[ci_time_alloc_new_logo])>0)","Counts representatives with time allocation assigned to new_logo."
"meas.reps_w_time_allocation_new_logo_pct","","var reps_w_ta = [meas.reps_w_time_allocation_new_logo_count]","Calculates percentage of representatives with time allocation assigned to new_logo."
"meas.reps_w_time_allocation_prospect_pct","","var reps_w_ta = [meas.reps_w_time_allocation_count]","Calculates percentage of representatives with time allocation assigned to prospect."
"meas.reps_all_time_allocation_count","","CALCULATE(DISTINCTCOUNT(users_history[_sys_user_id]))","Counts representatives included in time allocation analysis."
"meas.data_logs_user_rep_mgr_ratio_updated","","VAR _total_role = CALCULATE(","Calculates representative-to-manager ratio in the selected reporting context."
"meas.data_logs_users_tenure","","-- get the dates","Calculates user tenure in the selected reporting context."
"meas.data_logs_users_ramping_status","","-- get the dates","Returns ramping-status classification for users in the selected reporting context."
"meas.users_history_ci_time_alloca_avg_existing_cust_selling","","CALCULATE(","Calculates average time allocation for Existing Customer Selling."
"meas.users_history_time_allocation_confidence","","var avg_value = AVERAGE(users_history[ci_time_alloc_conf])    // get the avg of ci time allocation confidence","Returns numeric average confidence score for time allocation quality."
"meas.users_history_time_allocation_confidence_status","","var _conf = ROUND(AVERAGE(users_history[ci_time_alloc_conf]),2)*100    // get the avg of ci time allocation confidence","Returns narrative confidence-band text for time allocation quality (Limited, Fair, Good, Great, Excellent) for audience-facing explanation; not intended for numeric calculations."
"meas.time_allocation_confidence","","var _conf = ROUND(AVERAGE(users_history[ci_time_alloc_conf]),2)*100    // get the avg of ci time allocation confidence","Returns narrative confidence-band text for time allocation quality (Limited, Fair, Good, Great, Excellent) for audience-facing explanation; not intended for numeric calculations."
"meas.peek_inside_text_supports_aab","","""AAB""","Returns static label text for the AAB support tile."
"meas.peek_inside_text_supports_aapc","","""AAPC""","Returns static label text for the AAPC support tile."
"meas.peek_inside_text_supports_ramping_time","","""Ramping Time""","Returns static label text for the ramping-time support tile."
"meas.peek_inside_text_supports_trueai_reference_date","","""TrueAI Reference Date""","Returns static label text for the TrueAI reference-date support tile."
"meas.users_history_r2_bg_color","","var pros_r2 = [meas.propensity_tier_prospecting_r2]","Returns conditional background color code used in model quality visuals."
"meas.users_history_auc_bg_color","","var pros_auc = [meas.propensity_tier_prospecting_auc]","Returns conditional background color code used in model quality visuals."
"meas.users_history_avg_act_capt_lvl","","var _min_date = [meas.context_date_min]        // get the context min date","Calculates average activity capture level for users in the selected period. Uses the selected date range context."
"meas.users_history_ci_time_alloca_avg_prospecting","","CALCULATE(","Calculates average time allocation for Prospecting."
"meas.users_history_ci_time_alloca_avg_new_logo_selling","","CALCULATE(","Calculates average time allocation for New Logo Selling."
"meas.users_history_ci_time_alloca_avg_post_sales_support","","CALCULATE(","Calculates average time allocation for Post-Sales Support."
"meas.users_history_ci_time_alloca_avg_internel","","CALCULATE(","Calculates average time allocation for Internal."
"meas.reps_without_act_lvl_count","","var reps_tot = CALCULATE(DISTINCTCOUNT([_sys_user_id]), users_history[ci_act_capt_lvl]=BLANK())","Counts representatives without activity capture level data."
"meas.reps_without_act_lvl_pct","","var reps_w_acl = [meas.reps_without_act_lvl_count]","Calculates percentage of representatives without activity capture level data."
"meas.reps_has_ci_act_capt_lvl","","var res=IF(","Returns flag indicating whether representative has customer-intelligence activity capture level data."
"meas.ci_act_capt_lvl_pi_owner_act","","var _prospect_count = SUM(users_history[ci_act_capt_lvl_pi_prospecting_owner_act])","Calculates owner-level customer-intelligence activity capture indicator from activity totals."
"meas.underperformer_annual_avg","","CALCULATE(","Calculates annual average metric for users classified as underperformers."
"meas.performer_annual_avg","","CALCULATE(","Calculates annual average metric for users classified as performers."
"meas.overperformer_annual_avg","","CALCULATE(","Calculates annual average metric for users classified as overperformers."
"meas.min_user_role_alias","","MINX(","Returns the minimum role alias value in the current filter context, used for role label resolution."
"meas.ci_sb_closing_ability_num","","VAR score_raw =","Returns numeric customer-intelligence score for closing ability."
"meas.ci_sb_work_effort_num","","VAR score_raw =","Returns numeric customer-intelligence score for work effort."
"meas.ci_sb_discov_skills_num","","VAR score_raw =","Returns numeric customer-intelligence score for discovery skills."
"meas.ci_sb_engmt_ability_num","","VAR score_raw =","Returns numeric customer-intelligence score for engagement ability."
"meas.ci_sb_deal_maxing_num","","VAR score_raw =","Returns numeric customer-intelligence score for deal maximizing."
"meas.ci_sb_time_management_num","","VAR score_raw =","Returns numeric customer-intelligence score for time management. Calculates peer context values using the selected role."
"meas.ci_sb_closing_ability_num_peer","","VAR _selectedRole =","Returns numeric customer-intelligence score for closing ability in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_work_effort_num_peer","","VAR _selectedRole =","Returns numeric customer-intelligence score for work effort in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_discov_skills_num_peer","","VAR _selectedRole =","Returns numeric customer-intelligence score for discovery skills in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_engmt_ability_num_peer","","VAR _selectedRole =","Returns numeric customer-intelligence score for engagement ability in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_deal_maxing_num_peer","","VAR _selectedRole =","Returns numeric customer-intelligence score for deal maximizing in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_time_management_num_peer","","VAR _selectedRole =","Returns numeric customer-intelligence score for time management in peer context. Calculates peer context values using the selected role."
"meas.ci_sb_closing_ability_num_L12M","","VAR _latestSelectedDate =","Returns rolling 12-month numeric customer-intelligence score for closing ability. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_work_effort_num_L12M","","VAR _latestSelectedDate =","Returns rolling 12-month numeric customer-intelligence score for work effort. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_discov_skills_num_L12M","","VAR _latestSelectedDate =","Returns rolling 12-month numeric customer-intelligence score for discovery skills. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_engmt_ability_num_L12M","","VAR _latestSelectedDate =","Returns rolling 12-month numeric customer-intelligence score for engagement ability. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_deal_maxing_num_L12M","","VAR _latestSelectedDate =","Returns rolling 12-month numeric customer-intelligence score for deal maximizing. Anchors calculation to the latest selected reporting date."
"meas.ci_sb_time_management_num_L12M","","VAR _latestSelectedDate =","Returns rolling 12-month numeric customer-intelligence score for time management. Anchors calculation to the latest selected reporting date."
"meas.selected_period_performance_tier","","VAR TierTable =","Returns the performance tier label for the selected reporting period."
"meas.quarterly_tier","","VAR QuarterStart =","Returns the quarterly performance tier classification for the selected period."
"meas.show_last_4_quarters","","VAR LastFullMonthEnd =","Flags dates that fall within the last four completed quarters for visual filtering. Anchors calculation to the latest selected reporting date."
"meas.show_last_4Q","","VAR SelectedMaxDate =","Flags dates that fall within the last four completed quarters for visual filtering. Anchors calculation to the latest selected reporting date."
"meas.tier_last4Q","","CALCULATE(SELECTEDVALUE(users_history[col.ci_perf_qtly_performance_tier_num]),","Returns the performance tier label for the last four completed quarters."
"meas.users_history_ci_time_alloca_avg_existing_cust_selling_3mo","","var end_date = [meas.cal_end_sel_date]","Calculates average time allocation for Existing Customer Selling for the last three months."
"meas.users_history_ci_time_alloca_avg_internel_3mo","","var end_date = [meas.cal_end_sel_date]","Calculates average time allocation for Internal for the last three months."
"meas.users_history_ci_time_alloca_avg_new_logo_selling_3mo","","var end_date = [meas.cal_end_sel_date]","Calculates average time allocation for New Logo Selling for the last three months."
"meas.users_history_ci_time_alloca_avg_post_sales_support_3mo","","var end_date = [meas.cal_end_sel_date]","Calculates average time allocation for Post-Sales Support for the last three months."
"meas.users_history_ci_time_alloca_avg_prospecting_3mo","","var end_date = [meas.cal_end_sel_date]","Calculates average time allocation for Prospecting for the last three months. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_existing_cust_selling_3mo_peer","","VAR _selectedRole =","Calculates average time allocation for Existing Customer Selling for the last three months in peer context. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_internel_3mo_peer","","VAR _selectedRole =","Calculates average time allocation for Internal for the last three months in peer context. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_new_logo_selling_3mo_peer","","VAR _selectedRole =","Calculates average time allocation for New Logo Selling for the last three months in peer context. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_post_sales_support_3mo_peer","","VAR _selectedRole =","Calculates average time allocation for Post-Sales Support for the last three months in peer context. Calculates peer context values using the selected role."
"meas.users_history_ci_time_alloca_avg_prospecting_3mo_peer","","VAR _selectedRole =","Calculates average time allocation for Prospecting for the last three months in peer context. Calculates peer context values using the selected role."
"meas.ai_scores_ci_sb_mean","","(([meas.ai_scores_ci_discovery_skill]+ [meas.ai_scores_ci_engagement_ability]+[meas.ai_scores_ci_closing_ability]+[meas.ai_scores_ci_deal_maxing]+[meas.ai_scores_ci_work_effort]+[meas.ai_scores_ci_time_management])/6)*100","Calculates mean customer-intelligence score by averaging six customer-intelligence score components."
"meas.selected_period_performance_tier_num","","VAR TierTable =","Returns the numeric performance tier index for the selected reporting period."
"meas.rooster_matched_user_count","","CALCULATE([meas.data_logs_user_count_eop],users[col.is_ext_match_id]=""True"")","Counts end-of-period users matched to roster mapping rules. Calculates peer context values using the selected role."
