"measure","current_purpose","expression_sample","replacement_description"
"meas.calc_hyp14_kpi1_denominator","Returns a value derived from users_history[trueai_user_role_function] and users_history[ci_time_alloc_tot].","var rep_time_tbl = CALCULATETABLE(","Calculates calc hyp14 kpi1 denominator within the current reporting context."
"meas.calc_hyp14_kpi1_nominator","Returns a value derived from users_history[trueai_user_role_function] and users_history[ci_time_alloc_tot].","var rep_time_tbl = CALCULATETABLE(","Calculates calc hyp14 kpi1 nominator within the current reporting context."
"meas.calc_hyp14_kpi2_denominator","Returns a value derived from users_history[ci_time_alloc_post_sales] and users_history[trueai_user_role_function].","var post_sales = CALCULATE(","Calculates calc hyp14 kpi2 denominator within the current reporting context."
"meas.calc_hyp14_kpi2_nominator","Returns a value derived from users_history[ci_time_alloc_prospecting] and users_history[trueai_user_role_function].","var prospec = CALCULATE(","Calculates calc hyp14 kpi2 nominator within the current reporting context."
"meas.calc_hyp15_kpi1_denominator","Returns a value derived from users_history[trueai_user_role_function] and users_history[col.ci.perf_annual_performance_tier].","var res = CALCULATE(","Calculates calc hyp15 kpi1 denominator within the current reporting context."
"meas.calc_hyp15_kpi1_nominator","Returns a value derived from users_history[trueai_user_role_function] and users_history[col.ci.perf_annual_performance_tier].","var res = CALCULATE(","Calculates calc hyp15 kpi1 nominator within the current reporting context."
"meas.calc_hyp15_kpi2_denominator","Returns a value derived from users_history[trueai_user_role] and users_history[col.ci.perf_annual_performance_tier].","var res = CALCULATE(","Calculates calc hyp15 kpi2 denominator within the current reporting context."
"meas.calc_hyp15_kpi2_nominator","Returns a value derived from users_history[trueai_user_role] and users_history[col.ci.perf_annual_performance_tier].","var res = CALCULATE(","Calculates calc hyp15 kpi2 nominator within the current reporting context."
"meas.calc_hyp16_kpi1_denominator","Returns a value derived from companies_history[_sys_as_of] and users_history[_sys_user_id].","var fromDate = [meas.context_date_min]           /// current context min date","Calculates calc hyp16 kpi1 denominator within the current reporting context."
"meas.calc_hyp16_kpi1_nominator","Returns a value derived from companies_history[_sys_as_of] and users_history[_sys_user_id].","var fromDate = [meas.context_date_min]           /// current context min date","Calculates calc hyp16 kpi1 nominator within the current reporting context."
"meas.calc_hyp16_kpi2_denominator","Returns a value derived from users[trueai_user_role_function] and users_history[col.ci.perf_qtly_performance_tier].","// var res =  CALCULATE(","Calculates calc hyp16 kpi2 denominator within the current reporting context."
"meas.calc_hyp16_kpi2_nominator","Returns a value derived from users[trueai_user_role_function] and users_history[col.ci.perf_qtly_performance_tier].","// var res =  CALCULATE(","Calculates calc hyp16 kpi2 nominator within the current reporting context."
"meas.calc_hyp17_kpi1_denominator","Returns a value derived from ssr_history[step_name] and cal_end_dates[Date].","var res =  CALCULATE(","Calculates calc hyp17 kpi1 denominator within the current reporting context."
"meas.calc_hyp17_kpi1_nominator","Returns a value derived from ssr_history[step_name].","var res =  CALCULATE(","Calculates calc hyp17 kpi1 nominator within the current reporting context."
"meas.calc_hyp18_kpi1_denominator","Returns a value derived from ssr_history[step_name] and cal_end_dates[Date].","var res =  CALCULATE(","Calculates calc hyp18 kpi1 denominator within the current reporting context."
"meas.calc_hyp18_kpi1_nominator","Returns a value derived from ssr_history[step_name].","var res =  CALCULATE(","Calculates calc hyp18 kpi1 nominator within the current reporting context."
"meas.calc_hyp2_kpi1_denominator","Returns the measure value from its DAX expression.","1             // hard coded 1 as the def","Calculates calc hyp2 kpi1 denominator within the current reporting context."
"meas.calc_hyp2_kpi1_nominator","Returns the measure value from its DAX expression.","var res = CALCULATE(","Calculates calc hyp2 kpi1 nominator within the current reporting context."
"meas.calc_hyp2_kpi2_denominator","Returns the measure value from its DAX expression.","1             // get the hardcoded 1 value","Calculates calc hyp2 kpi2 denominator within the current reporting context."
"meas.calc_hyp2_kpi2_nominator","Returns a value derived from opportunity completeness fields.","var contact_ai = CALCULATE(AVERAGE(opps[trueai_complt_contact]))","Calculates the average calc hyp2 kpi2 nominator within the current reporting context."
"meas.calc_hyp3_kpi1_denominator","Returns a value derived from ssr_history[step_name].","// var res = CALCULATE(","Calculates calc hyp3 kpi1 denominator within the current reporting context."
"meas.calc_hyp3_kpi1_nominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_outcome].","var _max_date = [meas.context_date_max]","Calculates calc hyp3 kpi1 nominator within the current reporting context."
"meas.calc_hyp3_kpi2_denominator","Returns a value derived from users_history[trueai_user_role_function].","var res = CALCULATE(","Calculates calc hyp3 kpi2 denominator within the current reporting context."
"meas.calc_hyp3_kpi2_nominator","Returns a value derived from users_history[trueai_user_role_function].","var res = CALCULATE(","Calculates calc hyp3 kpi2 nominator within the current reporting context."
"meas.calc_hyp4_kpi1_denominator","Returns the measure value from its DAX expression.","1            // get the hard coded 1 as the def","Calculates calc hyp4 kpi1 denominator within the current reporting context."
"meas.calc_hyp4_kpi1_nominator","Returns a value derived from ssr[trueai_leadsource_is_inbound] and users[trueai_user_role_department].","var res =CALCULATE(","Calculates calc hyp4 kpi1 nominator within the current reporting context."
"meas.calc_hyp4_kpi2_denominator","Returns the measure value from its DAX expression.","1                 // hardcode","Calculates calc hyp4 kpi2 denominator within the current reporting context."
"meas.calc_hyp4_kpi2_nominator","Returns a value derived from ssr[col.trueai_leadsource_inbound_outbound].","var res = CALCULATE(","Calculates calc hyp4 kpi2 nominator within the current reporting context."
"meas.calc_hyp5_kpi1_denominator","Returns the measure value from its DAX expression.","1                 // get the hard code 1","Calculates calc hyp5 kpi1 denominator within the current reporting context."
"meas.calc_hyp5_kpi1_nominator","Returns a value derived from ssr[col.trueai_time_to_touch_days].","VAR res = CALCULATE(","Calculates calc hyp5 kpi1 nominator within the current reporting context."
"meas.calc_hyp5_kpi2_denominator","Returns the measure value from its DAX expression.","1                 // get the hard code 1","Calculates calc hyp5 kpi2 denominator within the current reporting context."
"meas.calc_hyp5_kpi2_nominator","Returns the measure value from its DAX expression.","1               // hard code","Calculates calc hyp5 kpi2 nominator within the current reporting context."
"meas.calc_hyp6_kpi1_denominator","Returns a value derived from ssr_history[stkhlds_all_contacts_count] and ssr_history[step_outcome].","var res = CALCULATE(","Calculates calc hyp6 kpi1 denominator within the current reporting context."
"meas.calc_hyp6_kpi1_nominator","Returns a value derived from ssr_history[stkhlds_all_contacts_count] and ssr_history[step_outcome].","var res = CALCULATE(","Calculates calc hyp6 kpi1 nominator within the current reporting context."
"meas.calc_hyp6_kpi2_denominator","Returns a value derived from opps[trueai_is_won] and ssr_history[step_name].","var won_deals_count = CALCULATE(","Calculates calc hyp6 kpi2 denominator within the current reporting context."
"meas.calc_hyp6_kpi2_nominator","Returns a value derived from opps[trueai_is_won] and ssr_history[step_name].","var won_deals_count = CALCULATE(","Calculates calc hyp6 kpi2 nominator within the current reporting context."
"meas.calc_hyp7_kpi1_denominator","Returns a value derived from ssr_history[step_outcome] and ssr_history[step_name].","CALCULATE(","Calculates calc hyp7 kpi1 denominator within the current reporting context."
"meas.calc_hyp7_kpi1_nominator","Returns a value derived from ssr_history[step_outcome] and ssr_history[step_name].","CALCULATE(","Calculates calc hyp7 kpi1 nominator within the current reporting context."
"meas.calc_hyp7_kpi2_denominator","Returns the measure value from its DAX expression.","BLANK()","Calculates calc hyp7 kpi2 denominator within the current reporting context."
"meas.calc_hyp7_kpi2_nominator","Returns the measure value from its DAX expression.","BLANK()","Calculates calc hyp7 kpi2 nominator within the current reporting context."
"meas.calc_hyp8_kpi1_denominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Calculates calc hyp8 kpi1 denominator within the current reporting context."
"meas.calc_hyp8_kpi1_nominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Calculates calc hyp8 kpi1 nominator within the current reporting context."
"meas.calc_hyp8_kpi2_denominator","Returns the measure value from its DAX expression.","1","Calculates calc hyp8 kpi2 denominator within the current reporting context."
"meas.calc_hyp8_kpi2_nominator","Returns a value derived from ssr_history[step_success_prob] and ssr_history[opp_sale_type].","var res =  CALCULATE(","Calculates calc hyp8 kpi2 nominator within the current reporting context."
"meas.calc_hyp9_kpi1_denominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Calculates calc hyp9 kpi1 denominator within the current reporting context."
"meas.calc_hyp9_kpi1_nominator","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Calculates calc hyp9 kpi1 nominator within the current reporting context."
"meas.calc_hyp9_kpi2_denominator","Returns the measure value from its DAX expression.","1","Calculates calc hyp9 kpi2 denominator within the current reporting context."
"meas.calc_hyp9_kpi2_nominator","Returns a value derived from ssr_history[step_success_prob] and ssr_history[opp_sale_type].","var res =  CALCULATE(","Calculates calc hyp9 kpi2 nominator within the current reporting context."
"meas.check_kpi1_kpi2_weight","Returns the measure value from its DAX expression.","var _kpi1 = [meas.getKPI1Weight]","Calculates check kpi1 kpi2 weight within the current reporting context."
"meas.getHeatmapConditionalColor","Returns the measure value from its DAX expression.","var _ai_score = [meas.getHeatmapKPI_AIScore]        // get the validated and not validated","Calculates getHeatmapConditionalColor within the current reporting context."
"meas.getHeatmapConditionalColor_new","Returns the measure value from its DAX expression.","// var _ai_score = [meas.getHeatmapKPI_AIScore]        // get the validated and not validated","Calculates getHeatmapConditionalColor new within the current reporting context."
"meas.getHeatmapKPI_AIScore","Returns the measure value from its DAX expression.","VAR kpi1 = [meas.kpi1_ai_score_trust_value]   -- 0â€“100 scale","Calculates getHeatmapKPI AIScore within the current reporting context."
"meas.getHeatmapKPI1_formula_used","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_whats_better].","var _better = MAX(metadata_heatmap_items[heatmap_kpi1_whats_better])           // get ghe what's better","Calculates getHeatmapKPI1 formula used within the current reporting context."
"meas.getHeatmapKPI2_formula_used","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_whats_better].","var _better = MAX(metadata_heatmap_items[heatmap_kpi2_whats_better])           // get ghe what's better","Calculates getHeatmapKPI2 formula used within the current reporting context."
"meas.getHeatmapRawScore","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_weight].","var _kpi1 = [meas.getKPI1_score]           // get the KPI 1 score","Calculates getHeatmapRawScore within the current reporting context."
"meas.getHeatmapScore","Returns the measure value from its DAX expression.","VAR _ai_score = [meas.getHeatmapKPI_AIScore]            // get the AI Model Score","Calculates getHeatmapScore within the current reporting context."
"meas.getKP2_Score_chng","Returns the measure value from its DAX expression.","var cy_kpi2 = [meas.getKPI2_score_cy]          // get the current year KPI1","Calculates getKP2 Score chng within the current reporting context."
"meas.getKPI1","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Calculates getKPI1 within the current reporting context."
"meas.getKPI1_score","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_whats_better].","var _kpi = [meas.getKPI1]         // get teh KPI 1","Calculates getKPI1 score within the current reporting context."
"meas.getKPI1_Score_change_pct","Returns a value derived from cal_end_dates[Date].","var cy = [meas.getKPI1_score]            // get the integer KPI 1 score","Calculates getKPI1 Score change pct within the current reporting context."
"meas.getKPI1_score_cy","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Calculates getKPI1 score cy within the current reporting context."
"meas.getKPI1_score_cy_5q","Returns a value derived from cal_end_dates[Date].","VAR _max_date = [meas.context_date_max] // Get the max date in the dataset","Calculates getKPI1 score cy 5q within the current reporting context."
"meas.getKPI1_score_delta","Returns the measure value from its DAX expression.","var cy_kpi1 = [meas.getKPI1_score_cy]          // get the current year KPI1","Calculates getKPI1 score delta within the current reporting context."
"meas.getKPI1_score_sply","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Calculates getKPI1 score sply within the current reporting context."
"meas.getKPI1Denominator","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])","Calculates getKPI1Denominator within the current reporting context."
"meas.getKPI1Denominator_Value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Calculates getKPI1Denominator Value within the current reporting context."
"meas.getKPI1Nominator","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Calculates getKPI1Nominator within the current reporting context."
"meas.getKPI1Nominator_Value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Calculates getKPI1Nominator Value within the current reporting context."
"meas.getKPI1Weight","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_weight].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])               // get the current hypothesis id","Calculates getKPI1Weight within the current reporting context."
"meas.getKPI2","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Calculates getKPI2 within the current reporting context."
"meas.getKPI2_score","Returns a value derived from metadata_heatmap_items[col.kpi2_std_value] and metadata_heatmap_items[col.kpi2_ref_value].","var _kpi = [meas.getKPI2]         // get teh KPI 1","Calculates getKPI2 score within the current reporting context."
"meas.getKPI2_Score_change_pct","Returns a value derived from cal_end_dates[Date].","var cy = [meas.getKPI2_score]            // get the integer KPI 2 score","Calculates getKPI2 Score change pct within the current reporting context."
"meas.getKPI2_score_cy","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_def_short] and cal_end_dates[Date].","var kpi2_def = MAX(metadata_heatmap_items[heatmap_kpi2_def_short])","Calculates getKPI2 score cy within the current reporting context."
"meas.getKPI2_score_cy_5q","Returns a value derived from cal_end_dates[Date].","VAR _max_date = [meas.context_date_max] // Get the max date in the dataset","Calculates getKPI2 score cy 5q within the current reporting context."
"meas.getKPI2_score_delta","Returns the measure value from its DAX expression.","var cy_kpi2 = [meas.getKPI2_score_cy]          // get the current year KPI2","Calculates getKPI2 score delta within the current reporting context."
"meas.getKPI2_score_sply","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_def_short] and cal_end_dates[Date].","var kpi2_def = MAX(metadata_heatmap_items[heatmap_kpi2_def_short])          // check if we have kpi2","Calculates getKPI2 score sply within the current reporting context."
"meas.getKPI2Denominator","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and heatmap[meas.calc_hyp3_kpi2_denominator].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Calculates getKPI2Denominator within the current reporting context."
"meas.getKPI2Denominator_Value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Calculates getKPI2Denominator Value within the current reporting context."
"meas.getKPI2Nominator","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and heatmap[meas.calc_hyp3_kpi2_Nominator].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Calculates getKPI2Nominator within the current reporting context."
"meas.getKPI2Nominator_Value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Calculates getKPI2Nominator Value within the current reporting context."
"meas.getKPI2Weight","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.kpi2_weight].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])               // get the current hypothesis id","Calculates getKPI2Weight within the current reporting context."
"meas.heatmap_booking_growth_rate","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","-- get the dates","Calculates heatmap booking growth rate within the current reporting context."
"meas.heatmap_rounded_score","Returns the measure value from its DAX expression.","VAR res  = MAX([meas.getHeatmapRawScore],0)     // get the raw score into rounded score with 5 step","Calculates heatmap rounded score within the current reporting context."
"meas.heatmap_trust_data_pi","Returns the measure value from its DAX expression.","// KPI1 Model Score + KPI2 AI Model Score / 2","Calculates heatmap trust data pi within the current reporting context."
"meas.how_kpi1_calculated","Returns the measure value from its DAX expression.","var _nominator = [meas.getKPI1Nominator]            // get nominator","Calculates how kpi1 calculated within the current reporting context."
"meas.how_kpi1_component_considered","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_weight].","var _weight =MAX(metadata_heatmap_items[heatmap_kpi1_weight])          // get ghe weight","Calculates how kpi1 component considered within the current reporting context."
"meas.how_kpi1_score_calculation","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_whats_better].","var _better = MAX(metadata_heatmap_items[heatmap_kpi1_whats_better])           // get ghe what's better","Calculates how kpi1 score calculation within the current reporting context."
"meas.how_kpi2_calculated","Returns the measure value from its DAX expression.","var _nominator = [meas.getKPI2Nominator]            // get nominator","Calculates how kpi2 calculated within the current reporting context."
"meas.how_kpi2_component_considered","Returns the measure value from its DAX expression.","var _nominator = [meas.getKPI2Nominator]            // get nominator","Calculates how kpi2 component considered within the current reporting context."
"meas.how_kpi2_score_calculation","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_whats_better].","var _better = MAX(metadata_heatmap_items[heatmap_kpi2_whats_better])           // get ghe what's better","Calculates how kpi2 score calculation within the current reporting context."
"meas.hypothesis_final_score","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_weight].","//(Score 1 x Weighting 1)  + (Score 2 x Weighting 2) / (Score 1 + Score 2) = Final Score","Calculates hypothesis final score within the current reporting context."
"meas.hypothesis_is_confirmed","Returns the measure value from its DAX expression.","var _score = [meas.heatmap_details_score_new]","Calculates hypothesis is confirmed within the current reporting context."
"meas.KPI1_AI_score_bucket","Returns the measure value from its DAX expression.","VAR _score = [meas.kpi1_ai_score_trust_value]   -- 0-100 score","Calculates KPI1 AI score bucket within the current reporting context."
"meas.kpi1_ai_score_trust","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_ai_score_name].","var _score_name = MAX(metadata_heatmap_items[heatmap_kpi1_ai_score_name])            // get the AI Score name","Calculates kpi1 ai score trust within the current reporting context."
"meas.kpi1_ai_score_trust_value","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_ai_score_name].","VAR _score_name =","Calculates kpi1 ai score trust value within the current reporting context."
"meas.kpi1_score_cy","Returns the measure value from its DAX expression.","var res  = CALCULATE(","Calculates kpi1 score cy within the current reporting context."
"meas.KPI2_AI_score_bucket","Returns the measure value from its DAX expression.","VAR _score = [meas.kpi2_ai_score_trust_value]   -- 0-100 score","Calculates KPI2 AI score bucket within the current reporting context."
"meas.kpi2_ai_score_trust","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_ai_score_name].","var _score_name = MAX(metadata_heatmap_items[heatmap_kpi2_ai_score_name])            // get the AI Score name","Calculates kpi2 ai score trust within the current reporting context."
"meas.kpi2_ai_score_trust_value","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_ai_score_name].","VAR _score_name =","Calculates kpi2 ai score trust value within the current reporting context."
"meas.loading","Returns the measure value from its DAX expression.","COUNTROWS(metadata_heatmap_items)","Calculates the number of loading within the current reporting context."
"meas.combined_score_concatenated","Returns the measure value from its DAX expression.","var TrendValue = [meas.kpi_combined_score]                     // get the improvemnet compared to cy","Calculates combined score concatenated within the current reporting context."
"meas.combined_score_top","Returns the measure value from its DAX expression.","var TrendValue =[meas.kpi_combined_score]    //IF([meas.kpi_combined_score]=BLANK(), ""ND"",[meas.kpi_combined_score])                      // get the improvemnet compared to cy","Returns combined score top within the current reporting context."
"meas.combined_score_top_w_text","Returns the measure value from its DAX expression.","var TrendValue =[meas.kpi_combined_score]    //IF([meas.kpi_combined_score]=BLANK(), ""ND"",[meas.kpi_combined_score])                      // get the improvemnet compared to cy","Returns combined score top w text within the current reporting context."
"meas.getKPI1_value_cy","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Calculates getKPI1 value cy within the current reporting context."
"meas.getKPI1_value_delta","Returns the measure value from its DAX expression.","var cy_kpi1 = [meas.getKPI1_value_cy]          // get the current year KPI1","Calculates getKPI1 value delta within the current reporting context."
"meas.getKPI1_value_sply","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Calculates getKPI1 value sply within the current reporting context."
"meas.getKPI2_value_cy","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Calculates getKPI2 value cy within the current reporting context."
"meas.getKPI2_value_delta","Returns the measure value from its DAX expression.","var cy_kpi2 = [meas.getKPI2_value_cy]          // get the current year KPI2","Calculates getKPI2 value delta within the current reporting context."
"meas.getKPI2_value_sply","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Calculates getKPI2 value sply within the current reporting context."
"meas.kpi_combined_score","Returns the measure value from its DAX expression.","var _trend_value1 = [meas.getKPI1_score_delta]","Calculates kpi combined score within the current reporting context."
"meas.kpi_combined_score_calculation","Returns the measure value from its DAX expression.","var _trend_value1 = [meas.getKPI1_score_delta]","Calculates kpi combined score calculation within the current reporting context."
"meas.kpi_score_combined_text","Returns the measure value from its DAX expression.","var _trend_value1 = [meas.getKPI1_score_delta]","Calculates kpi score combined text within the current reporting context."
"meas.kpi1_score_change_text","Returns the measure value from its DAX expression.","var TrendValue = [meas.getKPI1_score_delta]                     // get the improvemnet compared to cy","Calculates kpi1 score change text within the current reporting context."
"meas.kpi1_score_last_3_month","Returns the measure value from its DAX expression.","var _score = [meas.getKPI1_score_cy]","Calculates kpi1 score last 3 month within the current reporting context."
"meas.kpi1_score_last_3_prior_month","Returns the measure value from its DAX expression.","var _score = [meas.getKPI1_score_sply]       // get the sply kpi score","Calculates kpi1 score last 3 prior month within the current reporting context."
"meas.kpi1_value_delta_concatenated","Returns the measure value from its DAX expression.","var _better = [meas.heatmap_details_kpi1_whats_better]          // get the what's better value","Calculates kpi1 value delta concatenated within the current reporting context."
"meas.kpi1_value_delta_top","Returns the measure value from its DAX expression.","var _better = [meas.heatmap_details_kpi1_whats_better]          // get the what's better","Calculates kpi1 value delta top within the current reporting context."
"meas.kpi2_score_change_text","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_def_short].","var _kpi2_def = MAX(metadata_heatmap_items[heatmap_kpi2_def_short])","Calculates kpi2 score change text within the current reporting context."
"meas.kpi2_score_last_3_month","Returns the measure value from its DAX expression.","var _score = [meas.getKPI2_score_cy]","Calculates kpi2 score last 3 month within the current reporting context."
"meas.kpi2_score_last_3_prior_month","Returns the measure value from its DAX expression.","var _score = [meas.getKPI2_score_sply]       // get the sply kpi score","Calculates kpi2 score last 3 prior month within the current reporting context."
"meas.kpi2_value_delta_concatenated","Returns the measure value from its DAX expression.","var _better = [meas.heatmap_details_kpi2_whats_better]          // get the what's better value","Calculates kpi2 value delta concatenated within the current reporting context."
"meas.kpi2_value_delta_top","Returns the measure value from its DAX expression.","var _better = [meas.heatmap_details_kpi2_whats_better]          // get the what's better","Calculates kpi2 value delta top within the current reporting context."
"meas.calc_hyp1_kpi1_denominator_count","Returns a value derived from ssr_history[step_name].","VAR _total_acct_count = CALCULATETABLE(","Calculates calc hyp1 kpi1 denominator count within the current reporting context."
"meas.calc_hyp1_kpi2_denominator_count","Returns a value derived from ssr_history[step_name] and quality_buckets[bucket].","var filtered_tbl = CALCULATETABLE(","Calculates calc hyp1 kpi2 denominator count within the current reporting context."
